7054048
/m/0h24ws
/m/0h24ws
Fyodor Dostoyevsky

a 16
accidentally 1
after 3
all 1
allow 1
also 2
always 1
amazed 1
amount 1
an 3
and 13
any 1
apartment 2
appears 1
are 4
around 1
as 1
asleep 1
at 2
atonement 1
awakes 1
aware 1
away 1
be 1
because 1
been 1
before 2
begins 2
begs 2
blissful 1
bought 1
buried 1
but 3
by 1
chair 2
changed 1
christian 1
cold 1
come 1
comes 1
conclusion 1
contemplates 1
continues 1
corruption 1
day 1
days 1
deluge 1
deposited 1
descends 1
despite 1
dies 1
dismal 1
down 1
dream 2
drip 1
earth 3
emotion 1
engender 1
engenders 1
eschewed 1
ever 1
eyelids 1
factions 1
fall 1
falling 1
feeling 1
few 1
figure 2
find 1
first 1
flying 1
for 7
forgiveness 1
former 2
found 1
from 1
funeral 1
gathers 1
girl 5
go 1
goodness 1
grapples 1
grave 3
greek 1
guilt 1
gun 1
had 1
happiness 1
happy 1
has 3
he 21
head 1
heart 1
hesitates 1
him 7
himself 3
his 11
hours 1
how 3
idea 1
idyllic 1
in 8
incapable 1
indeterminate 1
inhabitants 2
intent 1
internal 1
into 3
is 10
island 2
it 2
leads 1
left 1
lesson 1
lie 1
lies 1
life 1
like 2
literature 1
little 2
lives 1
long 1
looks 1
love 1
made 1
main 1
man 1
many 1
martyrdom 1
matters 1
members 1
mistakes 1
months 1
more 1
mother 1
much 2
murder 1
nagging 1
narrator 15
next 1
night 1
not 2
nothing 1
occurs 1
of 15
on 6
once 1
one 2
onto 1
opened 1
opens 1
or 1
other 1
others 1
past 1
people 2
person 1
petersburg 1
placed 1
places 1
plagued 1
planet 1
pleads 1
preaching 1
presumably 1
previous 1
pride 2
promises 1
pulls 1
questions 1
realization 1
recently 1
reference 1
remembering 1
rest 1
reveals 1
revelation 1
revolver 1
ridiculous 1
running 1
saw 1
science 1
seeing 1
shadowy 1
shakes 1
shoot 1
shooting 1
shoots 1
shortly 1
since 1
sinks 1
sinless 1
sins 1
sky 2
sleeps 1
soar 1
solitary 1
something 1
soon 2
space 2
spend 1
st 1
star 2
states 1
still 1
story 3
streets 1
suddenly 1
suicide 2
supplants 1
surmises 1
surroundings 1
table 1
teaches 1
thankful 1
that 10
the 52
their 1
then 3
there 1
they 2
this 4
thoroughly 1
through 3
time 2
to 13
towards 1
truth 1
two 1
unknown 1
up 2
utopia 3
very 1
views 1
vivid 1
waged 1
wandering 1
wars 1
water 1
what 1
while 1
will 2
with 5
wrong 1
years 1
yourself 1
