1379135
/m/04x_9w
/m/04x_9w
Hugo Gernsback
1911
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
an 1
approaching 1
as 2
at 1
avalanche 1
by 2
clutches 1
describes 1
directing 1
energy 1
eponymous 1
finally 1
flyer 1
frequently 1
from 1
goes 1
he 1
her 1
hero 1
heroine 2
his 1
into 1
know 1
life 1
modern 1
novel 1
of 2
on 2
own 1
phrase 1
protagonist 1
remotely 1
rescue 1
rescues 1
saves 1
space 2
technological 1
the 10
to 1
travelling 1
using 1
villain 1
wonders 1
world 1
you 1
