7238390
/m/025wycj
/m/025wycj
David Gemmell
2002
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 12
all 1
allied 1
an 3
ancient 1
and 12
are 2
army 4
around 1
as 5
assassinations 1
assistance 1
assumes 1
at 3
attempts 1
back 1
battlefield 1
be 1
been 1
before 1
both 1
bring 1
bullet 1
but 1
by 8
castle 2
cernunnos 5
city 1
clans 1
close 1
coldhearted 1
comes 1
coming 1
communicates 1
company 1
control 3
dead 1
defeated 1
deployed 1
destroy 1
detachment 1
discovers 1
down 1
downfall 1
due 1
dweller 1
early 1
easily 1
eldacre 6
elite 1
enemy 2
escape 1
executed 1
eye 2
few 1
fighting 1
finally 3
forced 1
forces 2
free 1
friend 1
from 2
further 1
gaise 5
giving 1
godlike 1
golden 3
group 1
hand 1
has 1
have 1
he 6
heals 1
heart 1
hides 1
highlanders 1
him 5
himself 1
his 5
holds 1
however 2
human 1
hunted 1
in 9
informing 1
injured 1
into 1
invaded 1
invaders 1
invasion 2
is 14
it 1
killed 2
killers 1
kills 2
king 3
knights 1
known 1
land 1
launches 1
leader 1
leaders 1
leads 1
levels 1
lies 1
location 1
longtime 1
lord 1
loss 1
loved 1
loyal 1
loyally 1
macon 8
made 1
mage 1
making 1
man 3
mankind 1
men 1
moidart 8
moment 1
monk 1
moves 1
mulgrave 1
name 1
new 1
north 1
northern 1
not 1
of 18
old 2
on 4
only 1
or 1
order 1
out 1
own 1
part 1
passes 1
pinance 2
pinancer 1
place 1
point 1
possession 1
powers 1
prepares 1
previous 1
priest 1
profit 1
prophecy 1
prophesiesed 1
race 1
redeemer 1
redeemers 3
reduced 1
remain 1
revives 1
rigante 5
rival 1
royalist 1
sacking 1
save 1
seeking 1
seeks 1
serves 1
service 1
settle 1
several 1
shelsans 1
shoots 1
showed 1
skills 1
skull 7
soldiers 1
son 1
soul 1
sprit 1
still 1
stopped 2
stormrider 3
takes 2
taking 1
temporarily 1
terrible 1
that 5
the 53
their 2
then 1
they 1
think 1
this 1
to 13
tormrider 1
town 1
traitor 1
treachourous 1
tries 1
troops 2
uses 1
village 1
warning 1
was 3
well 1
were 1
when 1
where 1
who 6
widescale 1
will 1
winterbourne 13
witchwoman 1
with 6
woman 1
would 1
wounded 1
