14913203
/m/03h1bgw
/m/03h1bgw

2006-02
{"/m/0hwxm": "Historical novel"}
a 4
abraham 1
and 2
arabella 1
as 1
assassin 1
assassinating 1
assassination 1
at 1
be 1
begins 1
bella 3
between 2
book 3
booth 1
builds 1
by 2
called 1
cannot 1
chapter 1
character 1
closet 1
continually 1
could 1
during 1
for 1
ford 1
former 1
friendship 2
from 1
get 1
getchel 1
he 3
her 2
him 2
his 1
hostage 1
in 3
itself 1
john 1
last 1
likes 1
lincoln 1
locks 1
look 1
mentions 1
merely 1
name 1
named 1
of 2
president 2
second 1
she 1
so 2
steven 1
stop 1
stories 1
story 1
switches 1
taken 1
that 1
the 10
theatre 2
to 2
trap 1
two 1
was 2
where 1
who 1
wilkes 4
with 2
