3979535
/m/0b9tdd
/m/0b9tdd
Don DeBrandt
2000-11-01
a 6
after 1
and 4
angel 2
are 1
associations 1
become 1
but 1
can 1
clan 1
clients 1
close 1
common 1
community 2
cordy 1
crushed 1
demons 3
despite 1
doyle 2
dubious 1
enemies 1
everyone 1
finds 1
goes 1
group 2
guard 1
harmless 1
has 4
he 1
in 2
investigation 1
is 1
it 1
led 1
live 1
living 1
locally 1
mess 1
monsters 1
much 1
new 1
no 1
of 6
out 1
private 1
quake 2
reduce 1
seems 1
seismic 1
serpentine 1
shift 1
soon 1
target 1
telemarketing 1
the 2
their 1
things 1
this 2
to 2
underground 1
up 1
vision 1
wealthy 1
who 1
with 2
yet 1
