8226468
/m/026ww6q
/m/026ww6q
Andrew Vachss
1995-11
{"/m/0lsxr": "Crime Fiction"}
a 13
abuse 2
agrees 1
alfred 2
an 1
and 10
as 2
asian 1
asks 1
assassinated 1
assumed 1
at 1
barriers 1
batman 8
be 1
been 2
behind 1
believing 1
big 1
break 1
breaks 1
bruce 2
butler 1
buys 1
by 3
caseworker 1
chance 1
child 7
children 1
city 1
clients 1
confine 1
confront 1
connection 1
contact 1
continue 1
controls 1
could 1
country 1
course 1
crimes 1
debra 1
degrees 1
dictator 1
dictatorship 1
dismantle 1
encounters 1
explains 1
extreme 1
factors 1
family 2
father 1
files 1
find 1
finds 1
for 2
francisco 1
frustration 1
girl 1
gotham 1
group 1
had 3
has 1
he 3
headquarters 1
hellgate 1
her 7
him 2
himself 1
hired 1
his 2
hollister 4
how 2
impacted 1
in 4
industry 3
informant 1
into 1
introduces 1
investigating 1
investigation 1
its 1
jack 1
job 1
join 1
joins 1
kane 1
khai 5
kingpin 1
left 1
legend 1
life 1
living 1
local 1
man 1
martha 1
meet 1
meets 2
military 1
mistakes 1
mother 2
name 1
named 1
of 7
off 1
operate 1
overthrow 2
party 1
picking 1
points 1
population 3
pornography 1
poverty 1
prison 1
prostitution 2
protective 1
rebel 1
rebels 1
rescue 1
rest 1
return 1
returns 1
reveals 1
revolution 1
rhama 4
ring 2
san 1
saying 1
secretly 1
sells 1
sent 1
services 1
sex 4
she 3
showing 1
shows 2
similar 1
so 2
sold 2
southeast 1
stop 1
storming 1
survive 1
talks 1
that 5
the 18
their 1
these 1
they 2
this 1
though 1
to 14
tour 3
tours 1
translator 1
travels 2
types 1
udon 5
understand 1
up 1
using 1
varying 1
village 1
visits 1
wanting 1
warrior 1
was 2
wayne 5
where 2
while 1
who 6
with 4
would 2
