14735264
/m/03gw0g3
/m/03gw0g3
Joe McGinniss Jr.
2008-01-15
{"/m/05hgj": "Novel"}
22nd 1
a 3
about 2
affected 1
after 1
all 1
although 1
an 3
and 8
are 4
arent 1
art 2
as 1
ashamed 1
aspiring 2
at 1
bailey 1
battle 1
because 2
been 1
before 1
behind 1
bills 1
bodies 1
break 1
but 2
by 1
caustic 1
characters 2
chase 3
childhood 1
college 1
comfort 1
debt 1
different 1
directors 1
dont 1
drugusing 1
entrenched 1
even 1
excess 1
film 1
finding 1
finish 1
floor 1
focuses 1
follows 1
free 1
friends 2
from 3
generation 1
go 1
grad 1
growing 1
had 1
happening 1
he 1
high 1
his 2
hookers 2
hustlers 2
illegal 1
in 8
inevitably 1
influence 1
into 1
is 3
isnt 1
it 2
julia 1
just 1
king 1
know 1
las 5
left 1
life 4
lifestyle 1
like 1
live 1
lives 2
look 1
main 1
mba 1
meet 1
met 1
michele 1
negatively 1
new 1
now 1
of 9
off 1
old 2
on 3
one 2
or 3
order 1
out 1
outside 1
own 1
painter 1
painters 1
palace 1
paying 1
perspective 1
plot 1
portland 1
professions 1
promise 1
prostitute 1
prostitution 1
represents 1
returning 1
right 1
room 1
school 2
seldom 1
selfdestructing 1
service 1
simple 1
sounds 1
story 3
strip 1
struggles 1
student 1
students 1
study 1
suite 1
summary 1
sun 1
sympathetic 1
talk 1
teacher 1
that 1
the 17
their 6
themselves 1
these 1
they 10
to 5
told 1
truth 1
twenties 1
understand 1
up 1
uphill 1
vegas 5
want 1
ways 1
we 1
week 1
whats 1
when 1
where 1
who 3
whove 1
willamette 1
with 1
work 1
years 1
york 1
