3492678
/m/09ggvv
/m/09ggvv
Fyodor Dostoyevsky

a 45
about 5
absence 2
adds 1
after 1
afterword 1
again 2
against 3
age 1
agrees 1
aisle 1
aleksandr 1
alienated 1
all 2
alone 6
also 2
altar 1
always 4
an 6
anastasia 1
and 36
another 1
answer 1
any 3
anyway 2
apartment 1
apologizing 1
appearance 1
approached 1
archetype 2
are 1
arm 1
arms 1
as 14
asking 1
asks 1
assurance 1
assures 2
at 9
await 1
away 1
barber 1
be 15
beating 1
because 3
become 2
becomes 2
been 1
before 3
befriending 1
begins 3
begun 1
being 4
blessed 1
bliss 2
blooms 1
book 2
break 1
breaks 1
brief 1
briefly 2
bright 2
broken 1
but 9
by 8
call 1
called 1
calls 1
came 1
can 4
cant 1
cast 1
chance 1
character 7
city 3
cleaning 1
clear 1
close 1
closer 1
cobwebs 1
color 1
come 2
comfort 2
comfortable 2
comment 1
companionship 3
company 1
concerned 1
confess 1
considered 1
considers 1
continue 3
continues 1
courtship 1
creature 1
crush 1
crying 1
curious 1
dark 2
day 4
dear 1
defines 1
definition 1
delicate 1
depth 1
describes 1
despair 1
despairing 1
despairs 1
despite 1
despondent 2
destined 1
develop 1
did 2
dies 1
diminutive 1
dismally 1
disoriented 1
distaste 1
divided 1
does 2
door 1
dostoyevsky 1
down 2
dreadful 1
dreamer 3
dreaming 1
dreams 2
dreariness 1
drew 1
due 1
during 3
duty 1
dying 1
each 1
early 1
emotions 1
end 3
ends 1
escapes 1
even 1
eventually 1
ever 3
every 2
everyday 1
everything 1
exact 1
exactly 1
exclaims 1
experience 1
explains 3
extremely 1
faces 1
fallen 2
fancy 1
far 1
fated 1
feel 2
feelings 2
feels 3
felt 1
final 1
finished 1
finishes 1
first 4
fleeting 1
flower 1
for 14
forbid 1
fourth 1
friend 1
friends 3
friendship 3
from 9
future 1
gain 1
gave 2
girl 7
gives 1
giving 1
goddess 1
gone 1
good 1
gradually 2
grandmother 5
grateful 2
grows 1
habit 1
hair 1
happiness 2
happy 5
harassing 1
has 9
hasnt 1
have 1
havent 1
having 1
he 60
he3d 1
hears 1
heart 3
hearted 1
helps 1
her 37
hero 2
herself 1
hides 1
him 22
himself 2
his 35
history 1
holds 1
hoped 1
hopeful 1
hour 1
house 1
houses 2
how 4
however 2
human 1
hurting 1
i 4
if 6
imagining 1
immediate 1
in 23
inability 1
income 1
inevitably 1
insisting 1
insists 1
instant 1
intermediate 1
interrupts 1
intervenes 1
into 5
introduces 1
invites 1
is 20
isnt 1
it 6
ivan 1
journeys 1
jumps 1
just 3
keep 1
kept 1
kills 1
kiss 1
knew 1
known 1
knows 2
ladies 1
largely 1
later 1
lead 1
leading 2
leave 1
leaving 1
letter 5
life 9
like 2
likes 1
liking 1
live 1
lived 1
lives 3
lodger 2
loneliness 1
lonely 3
longer 2
longing 1
looked 1
lord 1
love 7
lover 3
loves 1
luckless 1
maid 2
main 6
make 1
making 1
man 7
manner 1
many 1
mark 1
marriage 1
married 1
marry 1
matrona 1
matryona 2
matter 1
may 4
maybe 1
mdash 1
me 1
meeting 1
mentions 2
met 1
might 1
mind 1
minute 1
mock 1
moment 5
money 1
morning 2
moscow 1
moving 1
much 1
my 2
name 1
nameless 1
narrator 15
nastenka 19
nature 1
never 6
nevertheless 1
new 2
night 7
nights 2
no 5
nonsocial 1
not 7
notes 3
nothing 1
noting 1
novels 1
now 1
obviously 1
of 27
often 1
oh 1
old 2
older 2
on 4
one 6
only 3
opens 1
or 7
other 1
out 2
over 1
own 2
painted 1
part 2
pass 1
passes 1
passionately 1
pension 1
people 3
perpetual 1
person 2
petersburg 4
place 1
platonic 1
poem 1
poets 1
pops 1
posting 1
pouring 1
precursor 1
presses 1
prospect 1
provided 1
purlieus 1
pushkin 1
quotation 1
railing 1
rain 1
random 1
reach 1
reading 3
realizes 1
realizing 1
reassures 1
references 1
refuses 2
reject 1
relates 1
relating 2
relationship 2
relive 1
remain 1
renovated 1
rent 1
replaced 1
reply 2
repulse 1
resentment 1
resolve 1
respectfully 1
responds 1
restless 1
result 1
return 1
returns 1
ridicule 1
romance 1
romantic 1
rudely 1
running 1
saint 1
saves 1
say 1
scott 1
scream 1
second 2
section 1
sections 1
see 1
seeing 3
sees 1
sends 1
sent 1
serene 1
seville 1
shadow 1
shaking 1
she 27
she3s 1
sheltered 1
short 1
should 3
side 1
silent 1
similar 1
single 2
sir 1
six 1
sky 1
small 2
smile 1
so 4
solitude 1
some 1
something 1
sort 1
special 1
speech 3
spends 1
spent 1
spot 1
st 2
standing 1
start 1
states 3
stating 2
stay 1
steels 1
stop 1
stops 1
stories 1
story 8
streets 2
strict 1
strolled 1
such 1
suffers 1
sufficient 1
support 1
sympathetically 1
take 1
takes 2
talk 2
talking 1
talks 1
tears 1
tell 3
telling 2
tells 3
term 1
than 1
thankful 1
that 37
the 71
theater 1
their 6
them 2
then 1
there 4
they 12
thinking 2
thinks 1
third 3
this 5
those 1
though 2
thoughts 1
time 3
timid 3
timidity 1
timidly 1
to 48
told 1
tomorrow 1
too 3
torn 1
turgenev 1
turns 1
two 2
unaware 1
underground 1
unrequited 1
up 2
upbringing 1
upon 2
urges 2
used 1
utterly 1
vasily 1
verbose 1
very 1
walk 4
walking 2
walter 1
want 1
wants 1
was 7
wear 1
weather 1
week 1
well 1
