1496330
/m/055y11
/m/055y11
Victor Hugo

{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 13
about 1
accepting 1
ago 1
all 1
alone 1
also 1
an 1
and 17
appearance 1
appears 1
are 1
arranges 1
arrived 1
arrives 1
as 2
at 1
away 1
back 1
bagpipes 1
battle 1
be 2
because 1
becomes 2
behind 1
believe 1
bottom 2
boy 1
but 2
buys 1
by 2
can 1
captain 1
cashmere 2
catch 1
caudry 1
chair 1
christmas 1
church 1
cilffs 1
cliffs 2
clubin 4
cold 1
cutter 1
day 1
decides 1
declares 1
declines 1
deruchette 2
desperate 1
dies 1
disappear 2
douvres 1
down 1
dreams 1
drowned 1
drowns 1
durande 3
easily 1
ebenezer 1
end 1
enduring 1
engine 4
eventually 1
everybody 1
falls 1
feels 1
finds 2
first 1
fisherman 1
flee 1
fog 1
for 2
former 1
free 1
from 5
front 1
further 1
gesture 1
get 1
gets 1
gild 1
gilliat 5
goes 1
going 1
good 1
grabbed 1
grows 1
guernsey 3
gunpoint 1
had 2
hanois 2
haunted 1
having 1
he 15
helps 1
her 6
him 1
his 6
holmur 1
honour 1
horizon 1
house 2
hunger 1
hurried 1
immediately 1
in 15
instead 1
into 1
is 3
island 2
it 1
large 1
leaps 1
leaving 1
left 1
leg 1
lethierry 5
lives 1
loses 1
love 1
made 1
many 1
marriage 1
marry 3
meet 1
mess 4
mission 1
moment 1
money 3
much 1
name 1
near 2
niece 2
no 1
obsessed 1
octopus 1
of 10
on 7
one 1
other 1
out 1
owner 1
people 2
plan 1
play 1
pleased 1
priest 1
promise 1
proposal 1
pulled 1
rantaine 2
ready 1
recently 1
rescuer 2
returning 1
road 1
rock 1
run 1
said 1
sailing 1
sailor 2
sails 2
sea 2
seen 1
sees 3
sets 1
shattered 1
she 3
ship 5
shipwreck 1
shore 2
sieur 1
sink 1
sitting 1
skeleton 1
smugglers 2
snow 1
son 1
spanish 1
steam 1
stolen 2
succeeds 1
sum 1
swears 1
swim 1
swindler 1
takes 2
tamaulipas 1
terrified 1
that 1
the 45
their 1
them 1
thick 1
thirst 1
this 1
tide 1
time 1
to 16
touch 1
trusted 1
trying 1
up 3
very 1
wait 1
watches 1
water 1
way 1
wedding 1
when 1
where 1
which 1
who 2
will 2
with 7
wizard 1
woman 2
wreck 1
writes 1
years 1
young 1
