2987672
/m/08hz9z
/m/08hz9z
Bentley Little

a 5
about 1
against 1
also 1
an 3
and 9
arizona 1
army 2
as 3
assembling 1
at 2
attack 1
away 1
battle 2
been 1
begin 1
begins 3
bizarre 1
blood 1
brother 1
buried 1
but 1
centuries 1
child 1
children 1
church 1
comes 1
convinces 1
corrupt 1
darkness 1
deals 1
defaced 1
deformed 2
devil 2
disappear 1
discovers 1
do 1
done 1
earthly 1
elias 4
end 1
evangelical 1
events 2
eventually 1
explains 1
face 1
family 1
fear 1
first 1
following 1
for 2
force 1
form 1
four 1
from 2
further 1
gains 1
goat 1
god 1
gordon 2
gradually 1
has 3
have 1
having 1
he 4
her 1
hills 1
him 2
his 4
horrible 1
human 1
hundreds 1
ignored 1
in 6
incarnation 1
infants 2
into 1
is 5
it 2
join 1
knows 1
little 1
main 1
make 1
many 1
men 1
millennia 1
missing 1
more 2
mounts 1
murder 1
named 1
never 1
new 1
next 1
not 1
novel 1
of 12
off 1
over 3
pastor 3
people 1
power 1
preach 1
preacher 1
pregnant 1
preparations 1
protagonist 1
quest 1
raising 1
reveals 1
role 1
safety 1
satan 2
seemingly 1
seems 1
series 1
servant 1
servants 1
several 3
sheriff 1
small 1
soon 1
stillborn 1
stop 2
stopping 1
succeed 1
surrounding 1
taken 1
terrifying 1
terror 1
that 5
the 25
these 1
they 1
this 2
though 1
time 1
times 2
to 9
town 4
townspeople 2
truly 1
unbalanced 1
unborn 2
unexplained 1
unfold 1
unknown 1
visions 1
wanders 1
who 1
whose 1
widely 1
wife 1
with 2
works 1
