14399548
/m/03d2ft5
/m/03d2ft5
Lois Duncan
1973-10
a 30
about 10
accident 5
accidentally 1
accuses 1
act 1
after 14
afterwords 1
age 1
agree 1
agreed 1
agrees 2
alive 1
also 1
always 2
an 3
and 50
angry 1
anonymous 2
answers 1
anymore 1
anyone 2
apart 1
apartment 5
are 2
army 1
arrive 1
article 1
as 4
ask 1
asking 2
asks 2
assures 1
at 7
athletic 1
attack 1
attend 1
authorities 1
away 1
back 4
barry 25
bathroom 2
be 8
beating 1
beauty 1
because 2
been 2
begins 1
being 1
best 1
bicycle 1
book 1
booth 1
boy 4
boyfriend 1
breaks 1
broke 1
bronson 1
brother 3
bud 11
buds 1
but 3
buy 1
by 5
california 2
call 5
called 4
caller 1
calling 1
calls 2
came 1
can 2
car 4
celebrate 1
challenges 1
channel 1
cheerleader 1
choke 1
chosen 1
clipping 1
close 1
coffee 2
college 1
collie 7
collingsworth 2
comfort 1
coming 1
commented 1
complex 1
confirms 1
contest 1
continue 1
continuing 1
convinces 1
could 1
cox 2
crime 1
cut 1
dark 1
darkly 1
date 2
dating 1
david 9
day 2
death 1
debating 1
decide 2
decides 1
desperately 1
did 3
discuss 1
discussion 1
disheartened 1
dissolving 1
do 1
does 1
doesnt 1
doing 1
done 2
door 4
down 2
drifted 1
driving 1
dropping 1
during 1
earlier 1
elder 1
elsa 3
elusive 1
envious 1
escapes 1
evidence 1
exchange 1
excuse 1
fake 1
fakes 1
family 3
father 4
fearful 1
feelings 1
fell 1
field 1
finds 7
first 2
five 1
flashlight 1
flowers 1
football 1
for 7
found 2
four 2
frat 1
friend 2
from 7
funeral 1
fury 1
get 6
getting 1
girl 2
girlfriend 2
girls 2
give 1
glass 1
go 6
goes 4
going 4
golden 1
graduation 1
gregg 9
had 7
half 1
hangs 1
happening 1
has 5
have 3
having 1
he 32
helen 20
help 1
her 26
high 2
him 10
himself 1
hinges 1
his 8
home 3
hospital 8
house 6
how 2
however 1
hurt 1
i 1
if 3
immediately 2
impatient 1
in 16
incident 1
inform 1
informs 1
intending 1
into 2
is 29
it 14
james 1
joseph 1
julie 28
just 1
keeping 1
kill 3
killed 2
kitchen 1
knew 2
know 2
las 1
last 2
later 2
learned 2
least 1
leave 1
leaves 3
left 1
lets 1
lies 1
life 1
like 1
little 2
lives 1
local 1
locks 1
longer 1
lost 1
lunas 1
lured 1
luxury 1
made 1
magazine 1
mail 1
making 2
man 2
may 3
me 1
meaning 1
meanwhile 1
meet 2
meeting 1
meets 2
megan 6
members 1
memorial 1
memory 1
mention 1
michael 1
moment 1
money 1
more 1
mother 4
mountains 1
moved 1
mr 1
mrs 1
much 1
name 1
named 2
never 3
new 1
newspaper 1
night 2
no 2
not 5
note 2
notes 1
nothing 2
now 1
obviously 1
of 17
off 2
older 1
on 7
one 3
only 1
out 15
over 2
pact 2
painfully 1
panicking 1
paralysis 1
paramedics 1
parents 1
party 1
passing 1
permanent 1
person 2
personality 1
phone 3
photographic 1
photos 1
pick 1
picture 1
point 1
popular 1
prank 1
prepares 1
previous 1
ran 1
ray 31
reach 1
reader 1
realized 1
realizes 2
really 1
receives 3
referring 1
relationship 1
released 1
reluctantly 1
remembering 1
remembers 2
resented 1
responsible 1
returns 1
revealed 3
reveals 4
riding 1
rivers 1
robbery 1
room 1
run 1
runs 1
saves 1
saw 1
saying 1
says 5
school 4
seasons 1
secret 1
see 3
seems 1
seen 1
sees 1
senior 1
sent 5
share 1
she 23
shooter 1
shooting 3
shortly 1
shot 6
show 1
since 1
sinister 1
sister 2
smith 1
sneaks 1
so 3
sold 1
solemnly 1
someone 1
spine 1
st 1
stalker 1
starts 1
stay 2
studio 3
suggests 2
sullen 1
summer 2
suntanning 1
supposedly 1
surgery 1
take 2
takes 1
taking 1
talk 4
talking 1
talks 1
taped 1
television 1
tell 2
telling 1
tells 6
that 20
the 76
their 2
them 4
then 10
there 2
they 14
thing 2
thinks 1
though 1
threats 1
to 63
together 1
told 1
tonight 2
too 1
tormenting 1
town 1
tried 1
tries 1
trouble 1
trying 1
tv 1
unattractive 1
unexpectedly 1
university 2
unnamed 1
up 3
use 1
used 1
via 1
visits 1
vow 1
walk 1
walks 1
want 1
wants 1
was 9
wasnt 1
way 1
well 1
what 4
when 15
where 3
which 2
while 4
who 7
why 1
will 3
wilson 2
window 1
with 6
without 1
world 1
worried 1
worst 1
would 6
write 1
year 1
you 2
young 2
