232367
/m/01hsn2
/m/01hsn2
Wu Cheng'en

1 1
100 2
13 2
1322 1
14 1
15 1
17 1
22 2
2386 1
24 1
72 1
81 1
812 1
87 2
a 31
about 1
achieve 1
actually 1
add 1
additional 1
adventure 1
adventures 1
afghanistan 1
after 1
aftermath 1
against 1
agree 1
all 2
allfemale 1
almost 2
along 3
also 3
altar 1
altars 1
although 1
always 1
amidst 1
an 6
and 38
andor 1
animal 1
animalspirits 1
appearing 2
appears 3
appetites 1
are 4
arhat 1
around 1
arrive 1
art 1
as 12
assume 1
at 3
ate 1
atone 1
attack 1
attacks 1
attaining 1
avalokitevara 1
awakened 1
away 1
back 2
background 1
bajie 2
banished 2
be 5
beasts 1
because 1
becomes 2
been 1
before 1
being 2
beings 2
believed 1
belonging 1
between 1
biography 1
bodhisattva 1
bodhisattvas 1
book 2
borderlands 1
born 1
boundary 1
brave 1
bring 1
brings 1
buddha 7
buddhahood 2
buddhist 2
bureaucracy 2
but 4
by 13
calamities 2
call 1
can 2
canopy 1
capital 1
captured 1
causes 2
celestial 3
changan 1
change 1
chants 1
chapter 7
chapters 8
character 3
characterised 2
china 2
cicada 1
citystate 1
cleanser 1
combat 1
comes 2
comic 2
commander 1
commands 1
complete 1
conflict 1
consist 3
constantly 2
continent 1
controlled 1
cross 1
crosses 1
crystal 1
culminates 1
curtain 1
dasheng 1
deals 1
death 2
deeds 1
deep 1
defying 1
deities 2
demons 2
departs 1
dependable 1
described 1
describes 1
description 1
destination 1
different 1
disaster 1
disciple 1
disciples 4
dismayed 1
divided 1
do 1
downfall 1
dragon 2
dropping 1
during 1
duties 1
duty 1
each 2
earlier 1
early 1
earthly 1
east 1
eastern 1
eater 1
eating 1
eight 1
elements 1
emperor 1
empire 1
emptiness 1
encounters 1
end 1
engineered 1
enough 1
entirely 2
episodes 3
episodic 1
equal 1
escaped 2
ever 1
evidence 1
evil 1
evils 1
excess 1
execution 1
exotic 1
exploits 1
face 1
fantastic 2
fate 1
father 1
fend 1
fighter 1
finally 1
find 1
finds 1
fire 1
first 3
five 2
flaming 1
flesh 2
flirting 1
foil 1
follow 1
following 1
food 1
for 15
force 1
forces 2
form 1
forms 1
four 3
fourteen 1
fourth 1
frequently 1
friar 1
from 5
frontier 1
fulfillment 1
gansu 1
garnered 1
general 1
generally 1
geographical 1
geography 1
give 1
given 1
goaded 1
goblet 1
goddess 1
gold 1
golden 1
good 2
gorges 1
great 3
greed 2
grow 1
guanyin 4
guile 1
halflegendary 1
halfreal 1
harm 1
harsh 1
has 3
have 3
having 1
he 13
head 1
headaches 1
heaven 4
heavenly 2
heavens 1
hedonism 1
help 1
here 1
hidden 1
him 5
himself 2
his 15
horse 2
how 1
however 1
hubris 1
human 1
hundred 1
ie 1
immortality 2
impassably 1
in 24
includes 1
including 1
india 3
ingenious 1
inhabited 1
insatiable 1
inspired 1
instructs 1
intelligent 1
into 2
introduce 1
introduced 2
introduction 1
introductory 1
involve 2
is 19
it 3
journey 3
just 1
king 1
kingdom 1
knows 1
lair 1
