73217
/m/0jp53
/m/0jp53
Amanda Craig
1996
10s 1
a 8
abandons 1
accommodations 1
adam 1
affected 1
after 2
against 1
aidsrelated 1
all 1
almost 1
also 2
ambitious 1
amelia 6
an 3
and 6
as 1
at 2
author 1
aware 1
background 1
be 1
become 1
becomes 2
been 1
being 1
beyond 1
brat 1
by 5
care 1
child 1
chosen 1
chronicles 1
circle 1
cleaning 1
commits 1
country 1
couple 1
crashing 1
crawley 2
critic 1
daughter 4
de 2
decides 1
desperate 1
disease 1
doctor 1
dying 1
education 1
either 1
encouraged 1
even 1
eventually 1
everyone 2
father 1
fiction 1
find 1
first 1
follows 1
friends 1
from 2
fund 1
girl 1
grace 1
ground 1
has 3
having 2
he 3
helicopter 1
her 8
him 1
his 5
hits 1
home 1
homosexuality 1
hope 1
housewife 1
humble 1
husband 1
in 2
including 1
intent 1
interest 1
irish 1
is 5
it 1
keeps 1
lacking 1
leaves 1
left 1
life 2
lodger 1
loses 1
lover 1
makes 1
many 1
mark 3
married 1
marry 1
mary 4
mature 1
max 2
metamorphoses 1
monde 2
money 1
mother 2
natural 1
need 1
new 1
newspaper 1
niece 1
novel 1
now 1
of 12
off 1
on 2
only 2
own 1
parent 1
path 1
person 1
planning 1
plundered 1
pregnant 1
prominent 1
quinn 1
raise 1
raising 1
realizes 1
recession 1
remembers 1
responsible 1
reviewer 1
rises 1
rose 1
sands 1
secret 1
seems 1
shaking 1
she 3
single 1
spectacularly 1
spoiled 2
stay 1
stays 1
still 1
suddenly 1
suicide 1
takes 1
talent 1
the 13
their 2
themselves 1
this 1
to 6
tom 1
trust 1
tycoon 1
university 1
unpublished 1
vicious 1
viner 1
was 1
when 3
whereas 1
while 2
who 5
with 1
without 1
womanwho 1
women 1
writing 1
years 1
yet 1
young 4
