7930981
/m/026kgmy
/m/026kgmy
Jack Vance

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
50000 1
a 14
able 2
aboard 1
about 1
acquires 1
adam 1
advanced 1
afram 1
after 1
alien 1
all 2
almost 1
among 1
anacho 2
and 7
ankhe 1
any 1
appear 1
are 6
as 6
associated 1
at 1
attempt 1
attempts 1
awaile 1
away 1
back 1
backing 1
barbarian 1
be 2
bear 1
beautiful 1
been 4
being 1
blown 1
build 1
but 3
by 2
captured 1
cath 2
centuries 1
chasch 2
chieftain 1
cities 1
city 1
closer 1
comfortable 1
communication 1
companions 2
conscious 1
continue 1
controls 1
coolly 1
cools 1
creep 1
crew 1
crewmates 1
currency 1
damaged 1
decides 1
deliberately 1
demise 1
destroyed 1
detailed 1
dirdir 2
dirdirman 1
disastrously 1
down 1
dreads 1
due 1
ends 1
engineering 1
eventually 1
executed 1
expelled 1
explains 1
extremely 1
fail 1
father 2
finally 1
flamboyant 1
for 3
four 1
friends 1
from 4
fugitive 1
further 1
furthermore 1
gauche 1
get 1
given 1
groups 1
had 2
hand 1
handle 1
has 1
have 3
he 3
her 9
herself 2
high 1
his 4
home 1
homeland 1
hopes 1
hostile 1
however 1
human 2
humans 1
in 4
inhabited 1
into 2
investigate 1
is 4
it 1
lake 1
leader 1
longer 1
lover 1
made 1
manhating 1
marooned 1
masters 1
misleading 1
more 1
murderous 1
mutually 1
native 1
not 2
notify 1
of 6
on 3
onmale 1
order 1
out 1
party 1
people 1
persuades 1
planet 1
pnume 1
progresses 1
quest 1
quo 1
rampage 1
reason 1
received 1
recruits 1
refuge 1
reith 8
relationship 1
religious 1
reprieved 1
rescued 1
result 1
return 1
revelations 1
reward 1
safeguard 1
same 1
sea 1
sect 1
separate 1
sequins 1
sets 1
shame 1
she 1
ship 3
so 1
society 1
spaceship 2
species 1
starship 1
status 2
steal 1
stolen 1
succeeds 1
surmised 1
taciturn 1
takes 1
taking 1
teenage 1
tell 1
that 1
the 21
their 3
them 2
these 1
they 4
thieves 1
those 1
threat 1
three 1
throwing 1
to 19
traz 1
try 1
tschai 1
unable 1
uncommon 1
uncouth 1
unfamiliarity 1
unimpressed 1
universal 1
unnoticed 1
up 1
various 1
voyage 1
wankh 7
wankhmen 4
wealthy 1
well 1
what 1
when 1
which 1
who 3
whom 1
with 6
woman 1
worked 1
wouldbe 1
yao 3
ylinylan 4
young 1
