616330
/m/02wzk7
/m/02wzk7
Rafael Sabatini
1922
{"/m/08sdrw": "Adventure novel"}
a 11
actual 1
actually 1
admiral 1
after 1
against 1
and 9
another 1
any 1
are 1
arms 1
arrested 1
arrival 1
as 7
assizes 1
at 1
attacks 1
attending 2
away 1
barbados 1
battle 1
be 2
become 1
before 1
bishop 2
blood 5
bloody 1
book 1
bore 1
bought 1
bridgetown 1
bridgwater 1
but 3
by 5
captain 1
captures 1
career 1
caribbean 2
colonel 2
colony 1
comfort 1
commission 1
commuted 1
convicted 2
convictslaves 1
de 1
death 1
doctors 1
down 1
dr 1
duke 1
during 1
dutch 1
dyke 1
edward 1
ends 1
escapes 1
feared 1
fictional 1
fight 1
financial 1
for 6
force 1
former 4
french 1
from 1
gentleman 1
geraniums 1
giant 1
glorious 1
governor 1
grounds 1
gunner 1
had 2
hagthorpe 1
hanging 1
harbour 1
has 1
hated 1
he 4
him 2
hired 1
his 1
if 1
ii 1
in 7
including 2
indeed 1
infamous 1
initially 1
into 1
irish 1
is 7
island 1
its 1
jamaica 1
james 1
jeffreys 1
jeremy 1
judge 1
king 2
knowingly 1
later 1
local 1
master 1
medicine 1
monmouth 1
most 1
much 1
nathaniel 1
navy 2
ned 1
nicholas 1
no 1
not 1
number 1
of 11
officer 1
ogle 1
on 2
one 1
oneeyed 1
opens 1
or 1
other 2
out 1
pardoned 1
part 1
person 2
personmdashwho 1
peter 2
petty 1
physician 2
piratesbuccaneers 1
pitt 1
plantations 1
practice 1
prepares 1
protagonist 1
prove 1
purely 1
raids 1
really 1
reasons 1
rebellion 2
rebellionmdashdoes 1
rebels 2
receive 1
revolution 1
reward 1
royal 2
ruyter 1
sailor 1
sails 1
saving 1
sedgemoor 1
sentence 2
settling 1
sharpwitted 1
ship 1
shipmaster 1
skills 1
slavery 1
sold 1
soldier 1
some 1
somerset 1
spaniards 1
spanish 2
successful 1
succour 1
such 1
sugar 1
superior 1
that 1
the 29
they 1
those 1
to 9
town 3
traitor 1
transportation 1
treason 2
under 1
up 1
upon 1
wants 1
was 1
when 2
where 1
while 2
who 2
wideranging 1
with 2
wolverstone 1
work 1
wounded 1
