869971
/m/03k5gr
/m/03k5gr
Fernando de Rojas
1499
{"/m/05hgj": "Novel"}
a 7
about 1
accepts 1
advantage 1
affair 1
afraid 1
after 1
and 25
angry 1
another 1
any 1
anything 1
are 2
areusa 3
arrange 1
as 3
asks 2
at 1
attempts 1
back 1
balcony 1
becomes 1
begs 1
being 1
between 1
bodies 1
broken 1
brothel 2
but 4
calisto 17
caught 1
celestina 17
chain 1
changes 1
come 1
confessing 1
convinces 1
courtly 1
crafty 1
crime 1
cure 1
custom 1
dead 1
depressed 1
dies 1
dishonorable 1
doesnt 1
done 1
elicia 3
executed 1
falls 2
father 1
finally 1
find 1
finds 1
for 3
gate 1
get 2
gets 2
getting 1
girdle 2
give 1
gives 2
go 1
gold 1
has 1
he 2
hears 1
help 2
her 16
herself 2
highest 1
him 2
his 4
house 2
immediately 1
in 6
informs 1
instead 1
intention 1
is 5
join 1
jump 1
kill 1
killing 1
knows 1
ladder 2
leave 1
longer 1
love 4
lover 2
lovers 1
lovesick 1
madly 2
magic 1
man 1
manages 1
meet 1
meeting 2
meets 1
melibea 11
mind 1
money 1
much 1
names 1
no 1
not 1
of 13
off 2
once 1
one 1
only 1
open 1
other 1
out 3
owns 1
partners 1
payment 1
pledge 1
plot 1
possible 1
prmeno 4
procuress 1
prostitutes 2
rejects 2
reputation 1
runs 2
say 1
secretly 1
sees 2
sempronio 6
send 1
servant 2
servants 1
sharing 1
she 2
shouting 1
so 1
sosia 2
suddenly 1
suffering 1
taking 1
talk 1
telling 1
tells 2
that 1
the 8
their 1
them 2
they 4
this 1
though 1
thread 1
throws 1
thugs 1
to 16
tower 1
tristan 2
two 3
up 1
upon 1
using 1
warn 2
were 1
when 2
while 2
who 2
whom 1
whose 1
window 1
with 7
word 1
