9388810
/m/0286xd3
/m/0286xd3
Jacqueline Wilson
2003
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
10000 1
50 1
a 20
about 1
achievednikki 1
act 1
admits 1
after 1
afternoons 1
again 2
against 1
almost 1
also 1
always 1
an 3
and 25
angry 2
anymore 1
anyway 1
aquarium 1
around 1
art 1
as 5
asks 1
at 4
attack 1
back 2
balls 1
bar 1
barbara 5
be 4
because 6
becoming 2
bed 2
been 2
beginning 1
believing 1
better 2
betting 1
book 1
both 1
boxer 1
breast 1
bring 1
broken 1
brother 1
but 6
buy 1
by 3
calling 1
car 1
chat 1
children 5
cigarettes 1
clear 1
come 1
comes 3
comforting 1
consolingly 1
count 1
crotch 1
day 3
decide 1
decides 1
did 1
didnt 1
discover 1
do 2
does 2
doesnt 2
done 1
drank 1
drinks 1
drops 1
drunk 1
end 1
ends 1
enthusiast 1
envisions 1
evenings 1
eventually 1
fall 1
father 1
fears 2
feel 1
felt 1
fenton 1
few 1
fight 1
finally 1
finds 2
firm 1
first 2
fist 1
fists 1
flat 1
following 1
food 3
for 5
found 1
fridays 1
friends 1
from 2
get 2
gets 3
girl 1
gives 1
go 3
goes 3
going 1
good 1
got 1
growing 1
had 4
hand 1
has 9
have 1
he 12
her 16
hero 1
herone 1
herself 1
him 6
his 3
hit 2
home 3
hoped 1
hospital 2
house 2
however 2
husband 1
if 3
ill 1
in 6
infection 1
into 2
is 9
it 9
its 1
jake 5
jay 10
jayni 11
jealous 1
job 3
joining 1
karaoke 1
kendall 1
kenny 2
kicks 1
kids 1
kill 1
knows 1
last 1
later 1
leave 1
leaves 2
left 1
let 1
like 2
likes 1
little 2
live 1
lives 1
lola 2
losing 1
lots 1
love 1
luck 1
lump 1
machine 1
meal 1
mean 1
means 1
meant 1
meanwhile 2
menial 1
midnight 1
minicab 1
minutes 1
money 3
months 1
mother 3
moves 1
mug 2
mum 2
must 1
named 1
nature 1
needed 1
needs 1
never 1
new 1
next 2
nice 1
night 1
nikki 17
not 2
note 1
nothing 1
now 1
obese 1
of 6
old 1
on 8
once 1
one 1
only 1
or 1
out 7
own 1
packet 1
pair 1
perform 1
positive 1
prefers 1
presses 1
previously 1
proceeds 1
protection 1
provide 1
provides 1
pub 3
punch 2
put 2
raises 1
redecorated 1
refuses 1
remembers 1
result 1
return 2
returns 1
reveals 2
rose 2
run 2
safe 1
says 1
school 1
scratchcard 1
seconds 1
sees 1
set 1
several 1
shark 3
sharks 1
she 23
shocked 1
shoos 1
shop 1
shorts 1
shoulder 1
shouting 1
sister 1
sixty 2
slag 1
slyly 1
smacks 1
so 3
soon 1
spend 1
spending 1
stand 1
starts 2
stay 1
stories 1
straw 1
student 1
stupidly 1
surgery 1
taking 1
tank 1
task 1
telephoned 1
telephones 1
tell 2
tells 1
tendon 1
terrifying 1
tgi 1
that 2
the 29
their 1
then 4
they 7
thing 1
thinking 1
this 3
though 2
threatening 1
times 1
to 37
too 1
tooth 2
touch 1
turned 1
until 1
up 3
violence 1
violent 1
want 1
was 1
when 1
where 1
whether 1
which 4
while 2
who 1
will 3
wins 1
with 6
work 1
worker 1
working 1
worse 1
would 3
