13473407
/m/03c6gc9
/m/03c6gc9

1984
{"/m/0dwly": "Children's literature"}
17 1
a 10
acquaintance 2
action 1
active 1
address 1
adventuring 1
against 1
aiding 1
alarmed 1
all 1
almost 1
along 2
also 1
among 1
an 3
and 7
around 1
as 6
assaillant 1
assistant 1
at 2
banks 1
be 1
because 2
been 1
before 1
better 2
book 1
books 1
business 2
but 3
by 1
can 1
capabilities 1
card 1
cards 1
carried 1
central 1
city 2
clue 1
companies 1
company 1
computer 1
con 1
corporate 1
could 1
crowd 1
dated 1
day 3
definite 1
demanded 1
described 1
designations 1
different 1
disappeared 1
discovered 1
distressed 1
does 1
duffy 1
duo 1
edge 1
even 1
events 1
exchange 2
exotic 1
faraway 1
father 1
feeling 1
final 1
first 2
for 2
fortune 1
from 3
gave 1
gentleman 1
getting 1
gone 1
good 1
greater 1
hacked 1
had 4
having 1
he 4
him 1
himself 2
his 6
home 2
how 1
imagination 1
impressive 1
in 9
inc 1
incapacitated 1
including 1
instance 1
intimate 1
into 2
introduced 1
inventor 1
investigation 1
involved 1
is 3
it 3
its 1
karl 1
kd2 1
kid 1
knowledge 1
known 1
knows 1
kronom 5
lane 1
last 1
late 1
leave 1
listed 1
listing 1
lot 1
made 2
march 1
master 1
matter 1
meeting 1
mole 2
money 1
more 1
mother 1
name 2
named 1
names 1
nemesis 1
new 2
not 1
of 12
old 2
on 2
one 1
only 6
or 1
other 3
out 1
over 1
park 1
participation 1
patrick 2
perhaps 1
person 1
place 1
places 1
playing 1
plea 1
possessor 1
presence 1
president 1
ralph 5
real 1
realised 1
received 1
refinements 1
reveal 1
rich 1
richard 4
roles 1
saint 2
school 1
secucomp 2
series 1
serious 1
set 1
shot 1
states 1
stephen 3
still 1
stock 2
stood 1
story 1
submission 1
systems 1
take 2
than 1
that 1
the 34
their 4
them 1
they 2
this 3
thought 1
threat 1
time 1
to 2
too 1
united 1
unlike 1
up 1
urgent 1
use 1
users 1
variety 1
very 1
victims 1
was 10
watch 1
way 1
when 3
where 1
who 3
wholly 1
with 3
wolfmann 2
world 4
york 2
zoo 2
