1466910
/m/053tc2
/m/053tc2
Anne Frank
1947
{"/m/0xdf": "Autobiography", "/m/017fp": "Biography", "/m/0dwly": "Children's literature", "/m/03qfd": "High fantasy"}
13th 1
14 1
142 1
144 1
145 1
a 4
about 1
after 1
also 1
amsterdam 1
and 5
anne 2
annex 1
april 1
are 1
as 2
assistance 1
august 1
auguste 1
before 2
began 1
behind 1
bergenbelsen 1
betrayal 1
birthday 1
british 1
building 1
buildings 1
by 1
camps 1
changed 1
colleagues 1
concentration 1
contained 1
daans 1
days 2
dentist 1
deportation 1
diary 1
died 1
door 1
during 2
dussel 1
early 1
edith 1
eight 1
father 2
for 2
four 1
frank 6
franks 1
fritz 2
from 1
going 1
group 3
harbored 1
her 3
hermann 1
hidden 2
hide 1
hiding 2
in 8
infection 1
into 2
investigating 1
is 1
jews 1
joined 1
june 1
keep 1
known 2
later 1
liberation 1
march 1
margot 1
month 1
months 1
mother 1
mr 1
mrs 1
names 1
nazi 3
netherlands 1
occupation 1
of 7
office 1
on 1
one 1
only 1
other 1
otto 3
parts 1
pels 5
people 1
peter 1
pfeffer 2
published 1
remained 1
resulted 1
rooms 1
sealedoff 2
shortly 1
sister 1
soldiers 1
survived 1
the 15
their 2
them 1
they 1
three 1
to 2
troops 1
trusted 1
twenty 1
two 4
typhus 1
until 1
upper 1
upperrooms 1
van 6
version 1
war 1
weeks 1
went 1
were 2
when 1
which 2
with 2
would 1
years 1
