6326826
/m/0g14hl
/m/0g14hl
Dorothy Allison
1993-03
{"/m/02xlf": "Fiction", "/m/01jym": "Bildungsroman"}
a 9
abandon 1
about 1
abuse 3
accident 2
after 4
again 4
age 1
all 1
alma 1
amazement 1
and 16
anger 1
anney 14
announces 1
another 1
are 1
arm 1
arms 1
around 1
as 2
asks 1
at 4
attacks 1
attempt 1
aunt 3
back 3
be 1
beat 1
beaten 1
beatings 1
becomes 1
becoming 1
been 1
begging 1
begins 2
being 3
birth 6
bone 16
bones 1
book 1
bottom 1
boy 1
breaking 1
broken 1
brothers 1
bruises 1
butter 1
called 1
car 3
caught 1
certificate 2
children 1
comatose 1
comes 1
crying 1
culminates 1
custody 1
customers 1
dairy 1
date 1
daughter 1
deception 1
decides 1
declared 1
delivery 1
details 1
diner 1
disappeared 1
discovering 1
discovers 2
disgust 1
do 1
due 1
during 1
ends 1
false 1
family 1
few 1
fifteenyearold 1
fights 1
floor 1
follows 1
for 2
forgive 1
forgiveness 1
fortunes 1
gentle 1
get 2
give 1
gives 3
glen 13
go 2
going 1
grief 1
had 1
harddrinking 1
has 2
hated 1
have 1
he 2
her 18
him 5
his 1
hospital 1
house 4
hunger 1
if 1
illegitimate 3
in 10
injured 1
is 6
issued 1
it 3
job 2
kill 1
killed 1
kitchen 1
later 1
leave 1
leaves 3
left 1
lie 1
live 1
losing 1
loves 1
loving 1
lyle 2
management 1
married 2
marries 1
molesting 1
more 1
mother 5
name 1
never 2
new 2
next 1
not 2
nursing 1
of 5
off 1
older 1
on 4
once 1
opens 2
order 1
out 1
owner 1
parsons 1
petitioning 1
plummet 1
pregnant 1
problems 1
prominent 1
promises 1
promptly 1
raping 1
rather 1
raylene 1
recuperating 1
reese 1
reiterating 1
relating 1
remaining 1
result 1
results 1
resumes 1
return 1
ridicule 1
ruth 1
same 1
seriously 1
seventeen 1
severely 1
sexually 1
she 10
short 1
shows 1
single 1
sister 1
socially 1
son 1
spends 1
stamped 2
stillborn 1
takes 2
telling 1
tells 1
than 1
that 6
the 21
their 1
then 5
they 1
this 4
throwing 1
time 1
to 21
tough 1
trash 1
two 3
unable 2
unless 1
unsuccessfully 1
up 3
upon 1
visits 1
vows 1
waddell 1
walks 1
when 2
where 1
which 2
while 1
whippings 1
who 4
will 3
with 7
without 3
word 2
works 1
years 3
