6047155
/m/0fmdgq
/m/0fmdgq
Michael Morpurgo

{"/m/0dwly": "Children's literature"}
a 9
able 1
according 1
after 1
alerts 1
and 11
appears 2
are 3
arrive 1
as 3
ashore 2
at 2
away 1
be 3
beaches 1
before 1
begin 1
beginning 1
being 1
birdman 4
boats 1
bryher 4
by 2
can 1
cannot 1
children 1
curse 2
cursed 1
customs 1
dangerous 1
daniel 4
deposit 1
deposited 1
disappeared 1
drying 1
during 1
end 2
eventually 3
fate 1
father 2
fighting 1
finally 1
find 1
fishing 1
friendly 1
friendship 1
from 4
gallipoli 1
go 1
gracie 6
guilt 1
has 1
haunted 1
have 1
having 1
he 2
hear 1
hide 1
him 1
his 1
home 2
however 1
i 1
in 2
including 1
into 1
is 5
island 7
islanders 3
isles 1
it 3
joined 1
large 2
led 1
lifted 2
live 1
lives 1
luck 1
mad 1
made 1
man 1
manage 1
mary 1
massacred 1
miraculously 1
misfortunes 1
mother 1
near 1
not 1
number 1
of 14
officers 1
old 1
on 7
one 1
only 1
out 1
parents 1
place 1
redeemed 1
result 1
return 1
returns 1
rumours 1
run 1
sail 1
same 1
samson 5
says 1
school 2
scilly 1
secret 1
ship 1
side 2
slaughtered 1
soon 1
south 2
st 1
stay 1
stop 1
story 1
stranded 1
succeed 1
suffer 1
survived 1
that 3
the 26
their 3
them 3
then 1
there 1
they 4
this 1
timber 2
to 11
trip 1
try 1
turn 1
turns 1
two 1
uninhabitable 1
up 3
visit 1
war 1
warn 1
warns 1
washed 2
well 1
were 2
whales 3
when 5
which 3
while 1
who 1
will 1
with 1
world 1
would 1
wrecked 1
young 1
