7882483
/m/026hfx4
/m/026hfx4
Lois Lowry
1985
{"/m/0dwly": "Children's literature", "/m/03mfnf": "Young adult literature"}
a 7
able 1
absence 1
act 1
affect 1
again 1
an 1
anastasia 6
and 8
annie 2
arrival 1
as 2
asks 1
at 1
be 2
because 1
being 3
between 1
bliss 1
book 2
boyfriend 1
brother 1
brought 1
but 2
california 1
cant 1
care 1
chaperone 1
charge 1
chicken 1
children 1
come 1
consultant 1
datebut 1
dinner 1
disasterssmall 1
domestic 1
early 1
easy 1
events 1
exgirlfriends 1
father 3
film 1
finds 2
first 3
flown 1
follow 1
for 3
from 2
gets 1
go 1
happiness 1
has 2
her 11
herself 1
him 2
his 1
home 3
house 1
housekeeping 1
however 1
illustrated 1
illustrator 1
in 2
is 3
keep 1
largestrike 1
list 1
long 1
luckily 1
made 1
make 1
meeting 1
mother 4
numerous 1
of 3
on 2
one 1
out 5
own 1
particularly 1
peace 1
plan 1
pox 1
real 1
romantic 2
sam 1
school 1
setting 1
shaking 1
she 6
snap 1
stay 2
steve 2
straighten 1
superorganized 1
take 1
that 4
the 3
their 1
then 1
things 1
thinks 1
to 9
unexpected 1
up 2
wants 1
when 1
who 1
will 2
with 1
wont 1
worries 1
younger 1
