5953255
/m/0fgdms
/m/0fgdms
Michael Crichton
1967-09
a 11
american 1
an 1
and 7
arms 1
around 1
as 4
assassinand 1
assignment 1
associates 3
aware 1
be 1
becomes 1
both 1
by 1
called 1
can 1
career 1
carr 6
cars 1
charming 1
cia 2
clue 1
collected 1
connections 2
cool 1
cushy 1
deal 1
defiance 1
difficult 1
does 1
doing 1
elsean 1
exactly 1
fast 2
father 1
find 1
for 3
france 1
gang 1
going 3
handsome 1
happens 1
has 3
he 6
him 7
his 4
ignoring 1
in 1
international 1
investigation 1
involving 2
is 7
it 2
job 1
keep 1
kill 1
know 1
knows 1
law 1
lawmore 1
lifestyle 1
little 1
lot 1
man 1
many 1
may 1
means 1
middle 1
mistake 1
neither 1
next 1
nice 1
no 1
not 1
of 5
on 3
one 2
part 1
perceive 1
playboy 1
political 1
politician 1
powerful 1
practices 1
predict 1
privileged 1
professional 1
purchase 1
put 1
reason 1
ride 1
roger 1
rollercoaster 1
secure 1
send 1
sent 1
side 1
sides 1
sign 1
slowly 1
someone 2
something 1
strange 1
support 1
surebut 1
take 1
terrorists 1
than 1
thanks 1
that 2
the 6
them 1
thinks 1
this 2
thrilling 1
to 8
tolerate 1
trscratch 1
trying 1
understand 1
villa 1
wealthy 1
what 2
who 3
why 2
will 1
women 1
worst 1
