11454490
/m/02rd920
/m/02rd920
Dornford Yates
1945
134 1
a 4
aas 1
account 1
acquire 1
afford 1
africa 1
after 1
all 2
also 1
although 1
an 2
ancestral 1
anchored 1
and 11
are 2
aristocratic 1
at 2
becomes 1
believe 1
berry 5
besse 1
between 2
books 1
building 2
built 3
by 2
called 2
cannot 1
carefully 1
charts 1
chteau 1
clear 1
close 1
cockade 1
comedythrillers 1
comes 1
completion 1
constructed 1
construction 1
contains 1
contractor 1
cost 1
country 1
daily 1
decide 1
decision 1
description 1
detailed 1
disappeared 1
dornford 1
driving 1
duration 1
eauxbonnes 1
elegant 1
employed 1
end 2
england 2
equivalent 1
events 1
exceptionally 1
family 3
featuring 1
first 1
focus 1
following 1
for 3
france 3
friends 2
from 2
gracedieu 2
green 1
halfway 1
hampshire 1
have 1
himself 1
his 2
home 1
house 5
i 1
idleness 1
impending 1
in 8
into 1
investigation 1
is 7
it 4
its 1
journey 1
ladies 1
lally 1
land 1
le 1
left 1
lifestyle 1
like 1
local 1
means 1
minor 1
monumental 1
mountain 1
mountainside 1
move 2
much 1
murder 1
nostalgic 1
not 1
novel 4
of 24
on 3
ossau 1
own 1
pau 2
people 1
period 1
picnicking 1
pleydell 2
precise 1
principal 1
reallife 1
refuge 1
regarding 1
relations 1
relatively 1
relatives 1
remain 1
residence 2
return 1
risks 1
rock 1
rolls 1
rowley 1
second 1
sell 1
series 2
seventh 1
signs 1
sir 1
slopes 1
social 2
some 1
soon 1
south 2
southern 1
spa 1
spend 1
steuart 1
subplot 1
take 1
techniques 1
terrace 1
that 3
the 43
their 5
there 1
thermal 1
they 4
thinlyveiled 1
this 1
time 1
to 5
traditional 1
unable 1
unhappy 1
upheavals 1
upon 1
valley 1
values 1
vanished 1
village 1
war 4
wearied 1
weather 1
where 1
which 1
whims 1
white 1
with 2
work 1
world 3
writer 1
yates 2
yet 1
