6524216
/m/0g8vkg
/m/0g8vkg
Devin Cary
1998
13 1
1876 1
20yearold 1
a 26
about 3
acquired 1
activities 1
admits 1
admitting 1
after 5
again 2
agent 1
akhtyrstev 1
akhtyrtsev 8
all 2
along 1
also 1
amalia 11
american 1
an 5
and 28
another 1
anything 1
apparently 1
appears 3
are 2
army 1
arrest 2
arrival 1
as 7
asks 1
assassin 2
assets 1
assures 1
astair 16
at 6
attempt 1
attention 1
away 1
azazel 10
back 1
be 4
beats 1
beautiful 1
because 2
befriends 1
begs 1
believes 1
believing 2
between 1
bezhetskaya 7
blank 1
blows 1
bomb 3
boss 1
both 1
bounces 1
boys 2
breaking 1
bride 1
bright 1
brilling 6
brings 2
but 3
by 5
called 2
campaign 1
can 1
cards 1
carriage 1
case 2
catches 1
challenges 1
chapter 1
charitable 1
children 1
come 1
commit 1
committing 1
confesses 1
confronts 1
contact 1
continue 1
convinced 1
corset 1
count 5
couple 1
criminal 1
cunningham 4
cunninghambut 1
dark 1
darkhaired 1
day 1
dazed 1
dead 1
deal 1
death 2
delivered 1
detective 2
do 2
does 1
down 2
drinking 1
driven 1
due 1
duel 1
earlier 1
either 1
elizaveta 4
encouraged 1
ends 1
english 1
erast 1
escapes 2
eventually 1
evertkolokoltseva 1
fail 1
falls 2
familiar 1
fandorin 42
finds 2
flees 1
follow 1
follows 1
fond 1
for 6
fortune 2
founded 1
frantically 1
from 3
front 1
further 1
game 1
gerald 1
german 1
gets 1
give 1
go 4
goes 2
government 1
gray 1
great 1
group 1
guilt 1
had 1
hair 1
happiness 1
has 4
have 1
having 1
he 16
head 1
heart 1
help 1
helpful 1
henchmen 2
her 24
high 1
him 12
his 14
hisses 1
hold 1
home 2
hotel 3
house 6
houses 2
however 2
hunt 1
hurriedly 1
idea 1
if 1
immediately 1
impressed 1
in 16
inexperienced 1
innocence 1
intercept 1
international 1
interview 1
interviews 1
into 2
investigates 1
investigation 2
investigative 1
is 16
it 2
ivan 1
jealousy 1
joke 1
journeys 1
jumps 1
just 1
kidnap 1
kill 4
killed 2
killer 1
kills 2
knife 1
knows 1
kokorin 6
lady 10
large 1
leads 1
leave 2
leaves 6
led 1
left 1
let 1
lets 1
letter 2
life 2
list 1
lobotomy 1
london 3
love 2
mailed 1
man 1
many 2
married 1
mars 1
mastermind 1
may 2
meanwhile 1
meets 2
member 1
members 2
men 1
messenger 2
military 1
mission 1
modern 1
moscow 6
much 1
murder 2
mysterious 1
mystery 1
network 1
new 1
newly 2
next 1
no 1
noblewoman 2
not 2
novel 3
now 1
nowhere 1
of 20
off 3
officer 1
on 5
once 1
one 2
only 1
openandshut 1
opened 1
opens 1
operating 1
or 2
ordered 1
organization 1
orphan 2
out 5
over 4
package 1
paper 1
park 1
part 1
petersburg 1
picture 1
plans 1
playing 1
plot 1
practical 1
professor 1
promise 2
public 1
pyotr 1
queen 1
ranks 1
real 1
realizes 1
recognizes 1
reports 1
retrain 1
retreat 1
return 1
reveals 4
rival 1
room 4
root 1
roulette 3
routine 1
running 1
russia 1
russian 2
saves 1
school 1
schools 1
see 1
seemed 1
seems 2
sees 3
sends 1
sensuous 1
servants 1
serve 1
she 9
shock 1
shoots 1
shot 1
smitten 1
sneaks 1
so 4
solved 1
somewhere 1
sophisticated 1
spends 1
st 1
stabs 1
started 1
staying 1
streets 1
struggle 2
student 2
students 1
succeeds 1
suddenly 1
suicide 4
suite 1
tails 1
take 2
talking 1
teacher 1
techniques 1
tells 2
temples 1
terrorist 1
that 21
the 41
their 2
them 1
then 2
there 1
they 4
this 1
thus 1
time 1
to 56
together 2
too 1
town 1
toying 1
tracks 1
train 2
traps 1
travels 1
tried 1
tries 1
turned 1
turns 1
university 2
up 1
upon 1
visit 1
von 1
waiting 1
walking 1
walks 1
was 3
way 1
wearing 1
wedding 1
what 1
when 3
where 2
which 3
while 2
whiteeyed 3
who 4
whom 2
whose 1
wife 1
will 2
win 1
window 2
winter 1
wishing 1
with 12
woman 1
word 1
work 1
world 2
young 4
zurov 9
