31929265
/m/0gw_v7q
/m/0gw_v7q
Peter Telep
2011-06-14
a 11
able 2
activities 1
after 1
against 2
allies 1
although 2
and 6
are 6
associates 1
attack 1
attempt 1
awry 1
belize 1
black 1
boat 1
bring 1
brought 1
but 1
capture 1
captured 1
cartels 2
cell 1
chase 1
cia 2
cities 1
date 1
degrees 1
demons 1
deployed 1
division 1
down 1
drug 1
each 1
effort 1
ends 1
entering 1
fellow 1
flights 1
for 1
from 1
goes 1
have 1
having 1
he 1
highvalue 1
his 2
in 3
infiltrate 1
interrogation 1
is 5
killed 1
kingpin 1
launchers 1
leader 2
looks 1
major 1
manpads 1
marcinko 1
max 2
met 1
mexican 1
missile 1
mission 3
moore 5
muslim 1
new 1
novel 1
now 1
number 1
of 6
off 1
officer 2
on 3
one 1
operation 1
other 1
overcome 1
pakistan 1
part 1
partially 1
personal 1
physical 1
play 1
prevent 1
recalled 1
relaxed 1
resemble 1
retrieve 1
richard 1
sent 1
several 2
site 1
smuggling 1
some 1
special 1
states 2
stop 1
success 1
successful 1
surfacetoair 1
take 1
target 2
team 1
teams 1
terrorist 2
terrorists 2
that 1
the 12
them 2
then 1
they 2
to 11
tunnel 1
unable 1
united 2
us 1
used 1
varying 1
via 1
when 1
which 1
whose 1
with 4
