543278
/m/02ndcz
/m/02ndcz
Edgar Allan Poe
1839-09
{"/m/03npn": "Horror"}
a 18
about 1
above 1
according 1
acute 1
after 1
again 1
agitated 1
alive 3
aloud 1
also 2
although 2
an 5
and 19
anxiety 1
apparent 1
approaching 1
are 2
arises 1
arrangement 1
arriving 1
as 9
asking 1
at 1
attempt 1
attempts 2
back 1
be 4
becomes 1
becoming 1
bedroom 2
before 2
begins 1
being 2
believes 1
blown 1
body 1
both 2
brass 1
break 1
breaks 1
brother 1
buried 1
but 1
by 4
calm 1
can 2
cataleptic 1
causing 1
cheeks 1
cheer 1
clatter 1
comes 1
complaining 1
compositions 1
corpses 1
country 1
cracking 1
dark 1
death 1
deathlike 1
described 2
died 1
dies 2
directly 1
distant 1
do 1
does 1
door 1
dragon 4
dwelling 2
entombed 2
entry 1
escape 1
ethelred 2
eventually 1
excessive 1
exclaims 1
fact 1
falling 1
falls 3
family 1
find 2
finds 1
flash 1
flees 1
floor 2
for 3
forcible 1
form 1
fragments 1
friend 1
from 3
glow 1
glowed 1
gold 1
guarded 1
guitar 1
hanging 1
has 2
haunted 1
having 2
he 7
heard 3
help 1
helps 1
her 2
hermit 1
him 4
his 7
hollow 1
house 8
hyperesthesia 1
hypersensitivity 1
hypochondria 1
hysterical 1
ill 1
illness 2
impressed 1
improvised 1
in 12
include 1
increasingly 2
informs 1
insists 1
inter 1
into 4
invention 1
involving 1
is 9
it 5
its 1
kills 1
knew 1
knight 2
known 1
land 1
later 1
legend 2
letter 1
light 2
lightning 1
listening 1
lives 1
look 1
mace 1
mad 1
made 1
madeline 3
masonry 1
metallic 1
modern 1
musical 1
named 1
narrator 10
next 1
no 2
notes 1
notices 2
novel 1
of 12
off 1
on 5
one 1
only 1
open 2
opens 1
or 1
over 1
overload 1
paintings 2
palace 2
part 1
pathagens 1
permanently 1
piercing 1
poe 1
preoccupation 1
proceeds 1
psychological 1
put 1
reading 2
reads 1
reason 1
received 1
relates 1
reveal 1
revealed 1
reverberation 1
ripping 1
roderick 13
rosy 1
science 1
seems 1
sensory 1
sentience 1
serious 1
she 4
shield 4
shining 1
short 1
shriek 2
shrieking 1
sings 1
sinking 1
sister 3
situated 1
slays 1
smells 1
so 1
some 1
somewhere 1
sounds 3
standing 1
storm 3
story 1
stroke 1
surrounding 2
take 1
tarn 2
tastes 1
tells 1
terminology 1
that 11
the 49
themselves 1
then 3
there 2
these 1
they 2
this 2
throws 1
time 1
to 16
tomb 2
trances 1
tryst 1
twin 1
two 2
unnamed 1
unnerving 1
upon 1
usher 4
vault 2
vegetation 1
wall 2
was 3
watch 1
week 1
weeks 1
when 2
which 3
who 4
window 1
wins 1
with 6
within 1
worry 1
written 1
wrote 1
