18571091
/m/04g0d8k
/m/04g0d8k
Robert Sheckley


32nd 1
a 4
adventure 1
aims 1
aliens 1
allowed 1
an 1
and 7
at 1
attempt 1
back 1
be 3
before 1
begins 1
being 2
belongs 1
but 1
by 1
can 1
cannot 1
carmody 2
caused 1
civil 1
class 1
competent 1
computer 1
condition 1
course 1
creature 2
destroy 1
different 1
doesnt 2
earth 5
eligible 1
ends 1
entity 1
environment 1
error 1
even 2
existence 1
expects 1
find 1
forced 1
found 1
from 3
galactic 3
guide 1
has 2
he 7
help 1
him 3
his 5
home 2
homing 1
however 1
human 1
in 2
instinct 1
is 4
it 2
keep 1
law 1
level 1
lottery 2
main 1
meets 1
mistake 1
no 1
not 3
obtains 1
of 6
on 2
or 1
organizers 1
out 1
perpetually 1
phases 1
planet 1
possess 1
predation 1
predatory 1
prize 3
pursues 1
reach 1
realities 1
removal 1
run 1
same 1
servant 1
several 1
shouldnt 1
since 1
so 2
spacetraveling 1
spring 1
status 1
thanks 1
that 4
the 13
therefore 1
time 2
to 10
tom 1
transport 1
transporting 1
universal 1
unlucky 1
up 1
usually 1
very 1
wellmeaning 1
when 2
where 1
which 2
wins 1
with 1
