16529964
/m/03y9b19
/m/03y9b19
Derek Landy
2008-04-01
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/0dwly": "Children's literature"}
a 32
abandoned 1
able 1
absorb 1
absorbed 1
accompanied 1
accomplice 1
accuses 1
across 1
actually 1
after 13
again 1
against 2
alert 1
alive 1
all 2
almost 2
along 3
already 2
also 2
altar 1
always 1
amusement 1
an 6
ancients 1
and 57
another 1
any 1
anyway 1
apart 1
apartment 1
are 3
armor 1
armour 3
around 1
arrive 1
arrives 4
arriving 1
as 7
ask 1
assassin 2
assassins 1
assault 1
assistants 1
attack 2
attacked 3
attacks 2
awaits 1
back 4
bad 1
baron 4
battle 5
be 3
beast 1
beats 2
because 1
before 7
begins 1
begrudgingly 1
being 6
benefactor 1
between 1
billyray 4
bites 1
blank 1
bliss 2
blood 3
bloodlust 1
blue 1
body 1
bodyguards 1
book 1
breaks 1
breastplate 1
bring 2
brutally 1
buildings 1
bunnies 1
but 7
by 12
cain 3
called 2
callously 1
can 1
cannot 1
captive 1
capturing 1
carpark 1
caught 1
chased 1
china 8
church 1
civilization 1
clearwater 2
cleavers 3
comes 1
coming 1
confronted 1
confronts 1
continues 1
convict 1
corner 1
corners 1
corrupt 1
crawls 1
cult 1
curb 1
cuts 1
dangerous 1
dark 1
decides 1
decorated 1
decoy 1
defeat 1
defeated 1
defeats 1
defends 1
descended 1
despises 1
detective 1
dies 1
disconcerting 1
discovered 1
discovering 1
distract 1
distraction 1
do 2
doctor 1
doesnt 1
door 1
double 1
down 1
due 1
during 1
dusk 8
dying 1
earth 2
edgeley 1
elephants 1
else 1
enabling 1
ends 1
enslaves 1
ensues 1
ensuing 1
escapes 1
escaping 1
events 1
evil 1
expected 1
faceless 8
family 1
find 5
finds 1
finger 1
fire 1
fires 1
first 1
flee 1
for 5
forced 1
free 1
from 7
frustrate 1
generals 2
giant 2
giving 1
go 3
god 1
goes 5
going 2
gown 1
grotesquery 16
grudge 1
guild 4
had 1
has 7
have 1
he 21
headquarters 1
heart 1
helmet 1
help 3
her 21
herself 1
hid 1
hides 1
him 7
himself 1
his 11
hospital 4
house 1
however 2
human 1
humans 1
hybrid 1
if 2
image 1
in 24
incapacitated 2
incident 1
included 1
including 1
information 1
intense 1
into 5
invincible 1
ireland 1
is 24
it 11
its 1
jack 3
join 1
joins 1
kidnap 1
kidnapped 1
killed 1
killing 1
kills 4
knew 1
known 1
later 1
league 2
leave 1
leaving 1
leg 1
life 1
lifeless 1
like 1
live 1
living 1
location 1
london 1
look 1
loose 1
lord 1
losing 1
lot 1
low 3
made 1
magician 1
man 2
manipulated 1
massacre 1
massive 1
master 1
meaning 1
meanwhile 3
meeting 1
meets 1
members 1
memories 2
mentioning 1
mercilessly 1
mevolent 2
middle 1
mingle 1
minions 1
mirror 2
monster 1
mr 2
murdered 1
murders 1
must 1
mysterious 3
mystery 1
named 2
neck 1
need 1
never 1
nevertheless 1
new 1
night 1
notices 1
novel 1
now 3
obtained 1
of 16
off 1
official 1
old 1
ominously 1
on 4
once 2
one 6
ones 6
only 2
onto 1
open 1
operated 1
orders 1
original 1
out 2
over 1
overpower 1
pain 1
parents 1
part 3
pawn 1
pays 1
people 1
pier 1
pin 1
pink 1
plan 3
plans 1
playing 1
pleasant 3
power 3
powers 1
previous 1
primary 1
prison 4
progress 1
promptly 1
psychopathic 1
ptskulduggery 1
pub 1
put 1
rage 1
razor 1
realizes 1
really 1
reason 1
reflection 4
released 2
releases 1
releasing 1
remains 2
remembers 1
rescues 2
respectable 1
result 1
resurrect 1
return 2
reunion 1
reveals 3
roarhaven 1
ruled 1
sanctuary 6
sanguine 8
satisfied 1
saved 1
saying 1
says 1
scapegrace 2
scientist 2
scream 2
searching 1
seedy 1
seen 2
sends 1
serpine 1
set 1
shadow 1
she 8
shooting 1
shoots 1
shot 1
side 1
skeleton 1
skulduggery 21
skullduggery 1
so 2
some 4
someone 1
something 1
soon 3
sorcerer 1
sorrows 2
spider 1
spiders 1
spills 1
spirits 1
springheeled 2
stabs 2
stealing 1
steals 1
stephanie 1
stomach 1
struggle 1
submission 1
subsequently 4
succeed 1
summon 1
swoon 1
syringe 1
take 2
taken 2
takes 4
taking 1
talk 1
talking 1
tanith 5
tearing 1
tells 2
terrible 1
that 13
the 75
them 3
then 3
they 6
things 1
thinks 1
this 1
three 2
through 2
thugs 1
thurid 3
time 1
to 38
together 1
top 1
torment 9
touches 1
toward 1
transformed 1
transforming 1
transforms 1
travel 1
tricks 1
tries 1
turns 1
two 1
unconscious 1
undead 1
underground 1
unfortunately 1
unpleasant 1
up 2
uses 2
using 1
utters 1
valkyrie 34
valkyries 1
vampire 4
vampires 1
vampiric 1
vanquished 1
vaurien 1
vengeous 8
vengous 11
viciously 1
victim 1
vile 3
village 1
villains 1
virtually 1
visiting 1
vows 1
wakes 2
want 1
was 3
weapon 1
wearing 1
wears 1
went 1
were 1
what 1
when 3
whenever 1
where 2
whereabouts 2
which 4
while 2
whilst 4
who 12
whom 2
will 4
with 19
without 1
wizard 1
work 1
working 1
works 1
world 1
worshiped 1
would 1
year 1
