4724214
/m/0ck53p
/m/0ck53p
Joanne Harris
2001
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 10
about 1
affection 1
alone 1
an 2
and 21
arrival 1
as 3
at 1
attention 1
be 3
became 1
been 1
blackmarket 1
blames 1
both 1
bribed 1
bring 1
brings 3
brother 1
built 1
bullies 1
business 2
but 1
by 2
came 1
cassis 1
child 2
children 4
chocolate 1
claims 1
closest 1
confront 1
crippling 1
critic 1
dartigen 3
daughters 1
death 1
difficult 1
down 1
dozen 1
during 1
eager 1
early 1
elderly 1
emerges 1
especially 1
estranged 1
events 3
eventually 2
ever 1
face 1
faced 1
falling 1
family 1
farm 1
father 1
feels 1
finally 1
first 1
flight 1
food 1
for 3
forces 1
forgive 1
framboise 6
franoise 4
friends 1
from 4
fruit 1
german 1
germans 1
gestapo 1
give 1
giving 1
goods 1
grasping 1
had 2
happened 1
has 2
hated 1
have 1
having 1
her 15
herself 4
hide 1
him 1
his 1
home 1
how 2
in 2
incident 2
information 1
into 3
is 6
it 2
killing 1
lack 1
later 1
laure 2
laveuses 2
leading 1
learns 1
les 2
life 2
like 1
locally 1
loire 1
lost 1
love 1
luc 1
magazine 1
manipulated 1
marked 1
migraines 1
mirabelle 5
moderately 1
mother 3
moves 1
mre 1
name 1
national 1
need 1
neighbours 1
nephew 1
new 1
nine 2
noone 1
not 1
notable 1
now 2
occupied 1
of 9
on 1
only 1
open 1
or 1
oranges 1
outward 1
own 1
past 2
permission 1
point 1
popularity 1
profit 1
profoundly 1
prominence 1
prone 1
put 1
quite 1
ran 1
real 1
reconnect 1
reineclaude 1
relationship 1
relationships 1
relives 1
remembered 1
rest 1
restaurant 1
resulted 1
retribution 1
run 1
sadly 1
second 1
secretly 1
series 1
shaped 1
she 5
simon 2
sister 1
sixty 1
small 1
soldier 1
spell 1
still 2
story 1
successful 1
sudden 1
supervise 1
surviving 1
tender 1
than 2
that 2
the 24
their 3
them 3
then 1
these 1
they 1
this 3
threaten 1
threatens 1
three 1
time 1
to 22
tomas 3
tortuous 1
tough 1
tougher 1
toughness 1
towards 1
translated 1
traumatic 1
trees 1
tries 1
truth 1
two 1
under 1
understand 1
undue 1
until 1
up 2
very 1
view 1
village 1
villagers 1
visit 1
war 2
was 4
well 1
when 2
who 6
whose 1
widow 1
wife 1
wild 1
with 7
woman 2
world 1
written 1
yannick 1
years 1
young 1
youngest 1
