4049922
/m/0bfjbd
/m/0bfjbd
Charlie Higson
2008-09-03
{"/m/06wkf": "Spy fiction"}
4 1
a 20
about 4
accidentally 1
afoul 1
after 5
afterwards 1
against 4
agent 1
agents 1
alive 1
all 1
alliance 1
ally 1
also 3
although 2
amethyst 2
among 1
an 5
and 29
andrew 1
are 6
around 1
arrive 2
arrives 2
as 10
assassinate 1
assumed 1
at 4
attacked 1
attempt 1
austria 5
avalanche 1
away 2
babuska 1
back 2
based 1
be 3
beats 1
been 3
before 1
begs 1
being 3
believing 1
betray 1
betrays 1
blowing 1
bond 28
bound 1
boys 1
britain 1
british 2
bulletproof 1
but 5
by 10
call 1
captured 1
carlton 1
castle 1
caught 1
cell 4
cheater 1
church 1
claimed 1
classmate 1
classmates 1
college 1
colonel 2
comes 1
command 1
communist 5
communists 1
conservative 1
conspiracy 1
cornered 1
corners 1
country 1
cousin 1
crossing 1
crowd 1
crying 1
dandy 9
days 2
death 2
disappears 1
doesnt 1
dr 2
drunk 1
during 4
dying 1
edward 1
elizabeth 1
ensuing 1
entire 1
escape 1
escaping 1
eton 5
eye 1
fact 1
falling 1
fettes 1
few 2
finds 3
followed 4
for 12
formed 1
framing 1
french 1
friend 8
from 1
gagged 1
game 1
george 2
germans 1
germany 2
get 2
give 1
given 1
gives 1
giving 1
goes 2
going 1
good 1
government 1
grace 1
graf 4
grandmother 1
grateful 1
group 1
had 8
have 4
having 2
he 23
hears 1
her 9
hidden 1
him 9
himself 2
his 9
hitler 2
hospitalised 1
hotel 1
however 5
identity 1
imposter 1
in 12
informs 2
inspire 1
instead 1
into 2
invited 1
irina 1
irishman 1
is 18
isnt 1
isolating 1
it 4
james 1
jrgen 1
june 1
just 1
keeping 1
kill 4
killed 4
killing 1
kills 2
king 6
kiss 1
knife 2
knocked 1
know 2
known 2
later 5
leader 2
leverage 1
life 1
lisbon 2
locked 1
london 1
love 1
loved 1
maid 1
man 4
manage 1
manages 1
married 1
mary 1
meet 1
meeting 1
meets 4
members 1
merriot 3
met 1
mi6 3
mocks 1
monarchy 1
money 1
more 1
mr 2
mysterious 1
name 1
named 3
nazis 1
nearly 1
new 1
none 1
not 3
obsidian 2
of 11
ogpu 2
okeefe 1
on 5
one 1
only 1
operation 2
original 1
other 1
otto 1
out 2
outing 1
paper 1
part 1
party 2
past 1
perseus 1
placed 1
plan 2
planning 1
plans 1
play 1
poker 1
portugal 2
power 1
preventing 1
prince 1
princesses 1
protects 1
pursued 2
realizes 2
recognize 1
remain 1
rescue 1
return 1
revealed 2
reveals 2
revenge 1
revolt 1
revolution 1
rise 1
roan 14
run 2
runs 1
russia 2
russian 3
russians 1
saved 3
saving 2
saying 1
schlick 2
school 1
sedova 9
sent 1
share 1
she 9
sheet 1
shoot 1
shoots 2
shortly 1
silverfin 1
since 2
skiing 2
skin 1
so 1
some 1
sometime 1
soon 1
spend 1
spots 1
start 1
starts 1
still 1
subsequently 1
surgery 1
sympathetic 1
take 1
takes 2
talk 1
teacher 2
tells 4
than 1
that 17
the 47
their 3
them 5
then 1
there 1
they 11
this 4
thought 1
throne 1
thus 1
time 3
to 33
together 1
too 1
towards 1
trick 1
tries 3
trip 1
truth 1
two 1
uk 1
unable 2
unconscious 1
under 1
up 3
v 2
vainly 1
very 1
vest 1
viii 1
visits 1
vladimir 1
von 2
wales 1
want 2
war 1
was 5
way 1
were 1
when 4
where 3
while 1
who 12
whom 1
with 8
won 1
workers 1
working 4
works 2
would 5
wrangel 3
youth 1
