28795979
/m/0ddgbfm
/m/0ddgbfm
Miguel M. Abrahão
1978
{"/m/01z4y": "Comedy"}
a 3
almeida 1
amelia 1
and 4
around 1
assume 1
autocratic 1
beast 1
before 1
beth 1
carries 1
congress 1
country 1
decides 1
discussions 1
dominant 1
educate 1
feminist 1
girls 1
her 1
his 1
home 1
husband 1
in 4
incorrigible 1
lead 1
leader 1
macho 1
men 1
neighbor 1
occurs 1
of 2
order 1
over 1
participate 1
position 1
prevailing 1
problem 1
promote 1
resolves 1
reversing 1
seeking 1
society 1
status 1
submissive 1
take 1
the 5
to 5
true 1
typical 1
values 1
when 1
with 1
women 2
