11367873
/m/02r9535
/m/02r9535

2006-04-11
{"/m/0dwly": "Children's literature"}
a 5
adrift 1
again 1
air 1
and 5
are 1
artistic 1
as 2
at 1
be 1
beautiful 2
beauty 1
begins 1
below 1
boats 1
boy 3
butterfly 2
by 1
children 2
cloud 4
clouds 1
creation 1
creations 1
day 1
delight 1
designs 1
down 1
earth 2
enjoy 1
even 1
fashion 1
fashions 1
fluffy 1
from 1
gives 1
great 2
he 4
high 1
him 1
his 3
idea 1
in 4
is 1
it 2
its 1
learns 1
like 1
lives 1
lonely 2
long 1
looks 1
many 1
may 1
more 2
nearby 1
never 1
of 2
on 1
one 1
others 1
passes 1
rabbits 1
see 2
seeing 1
sees 1
sends 1
shapes 1
sky 2
snowmen 1
so 1
soon 3
take 1
that 2
the 7
them 1
then 1
there 1
things 2
to 1
up 1
what 1
who 1
will 1
wonderful 1
