3532753
/m/09jxf6
/m/09jxf6
Dan Cragg
2006
34th 1
a 5
about 1
achieve 1
against 1
agree 1
alien 1
aliens 1
all 1
an 2
and 7
are 2
arent 1
army 2
arrive 2
as 1
at 1
base 1
beefed 1
before 1
being 1
billie 2
bloody 1
brings 1
but 1
citizens 2
civilians 1
class 1
coalition 4
colonies 1
combat 1
command 2
comprises 1
confederation 7
confederationwhat 1
crowd 2
decides 1
declares 1
defences 1
did 1
discovery 1
division 1
do 1
dozen 1
entire 1
even 1
ever 1
experience 1
fist 1
forces 2
from 1
gate 1
gather 1
general 2
get 1
given 1
guessed 1
hangs 1
has 2
hates 1
he 1
holding 1
human 1
hundred 1
into 2
is 3
its 2
jason 1
killing 1
kills 1
know 2
known 1
lesser 1
likelihood 1
line 1
lying 1
main 1
many 1
marines 1
matters 1
might 1
military 1
more 1
negotiate 1
networks 1
news 1
no 2
not 3
of 10
off 1
on 5
one 1
only 1
others 1
otherwise 1
out 1
over 1
parting 1
peaceable 1
powerful 1
prevoked 1
protestor 1
protestors 1
ravenette 1
ravenettebanking 1
reinforcements 2
rich 1
riot 2
say 1
scene 1
secede 1
second 1
secret 1
semiautonomous 1
setting 1
settled 1
shoot 1
shoots 1
since 1
skink 1
skinks 1
soldiers 3
some 1
someone 1
soon 1
species 1
started 1
that 3
the 25
them 1
these 1
they 3
those 1
though 1
threat 2
tired 1
to 2
top 1
two 1
unknown 1
until 1
up 1
victory 1
war 1
when 1
will 2
worlds 5
worse 1
wrong 1
