27142852
/m/0bwkr8x
/m/0bwkr8x
Brian Lumley
1988
a 12
abilities 1
able 1
about 1
after 2
afterwards 1
again 1
agents 1
albeit 1
alec 3
all 1
also 1
among 1
an 1
and 12
any 1
are 4
as 4
assistance 1
at 2
back 1
be 2
been 2
before 1
behind 2
beings 1
believing 1
beneath 1
bodescu 2
bodily 1
body 3
book 1
breed 1
brenda 1
british 1
but 3
by 1
can 1
captured 1
castle 2
centuries 1
chained 1
column 1
consciousness 1
contacts 1
continuum 2
control 1
could 1
creating 2
creature 2
current 1
dead 3
destroy 1
destroying 1
destroys 1
developed 1
die 1
died 1
discovers 2
disobeying 1
done 1
drawn 1
earth 1
ebranch 4
egg 1
end 1
enemy 1
enraged 1
events 1
eventually 1
extensively 1
extent 1
faethor 6
family 1
father 1
fathers 2
ferenczy 2
finger 1
flesh 1
foener 2
for 1
forced 1
form 1
formidable 1
full 1
further 1
goes 1
gone 1
gradually 1
great 2
had 3
harry 13
has 2
have 2
he 5
head 1
her 1
him 5
his 12
how 1
however 1
hq 2
hypnotism 1
in 5
increased 1
infant 3
infected 3
informs 1
inhabit 1
into 1
is 7
it 1
jr 4
keogh 2
kill 1
killed 1
knowledge 1
kyle 3
leading 1
learned 1
learns 1
leech 1
left 3
lesser 3
like 1
likely 1
longevity 1
losing 1
lust 1
manipulator 1
many 1
master 2
merged 1
mighty 1
mind 1
mindless 1
mindwipe 1
mobius 1
more 1
murder 1
mutation 2
never 1
not 1
novel 1
now 2
of 13
once 1
one 1
other 1
out 2
over 1
part 2
piece 1
pinned 1
possess 1
power 1
powers 1
pregnant 1
prepares 1
prior 2
ready 1
reels 1
regeneration 1
releases 1
remains 2
resides 1
results 1
retains 1
rise 1
roam 1
roaming 1
rogue 1
russian 3
russians 2
seems 1
seldom 1
servants 1
sets 1
shapeshift 1
she 1
shed 1
skin 1
slaughter 1
sleeps 1
slips 1
small 2
sole 1
son 3
source 1
spare 1
speak 1
spirit 2
spy 1
steal 1
still 1
such 1
talents 2
talking 1
teams 1
telepathy 1
tell 1
tells 1
that 6
the 25
they 2
thibor 8
this 1
thralls 2
through 1
time 1
to 19
transformation 1
tricked 1
true 1
two 1
unclear 1
underneath 1
unmovable 1
up 1
use 1
used 1
uses 1
using 1
vampire 4
vampires 3
vows 1
wamphyri 3
wamphyric 1
warrior 1
was 6
watch 1
what 1
when 4
whether 1
which 4
while 2
who 2
with 6
woman 1
worm 1
would 1
youth 1
yulian 7
zek 2
