2929214
/m/08d9_8
/m/08d9_8
Bernard MacLaverty

{"/m/02xlf": "Fiction"}
a 12
abattoir 1
ability 1
able 1
acceptance 1
act 1
adding 1
afraid 1
again 1
allowing 1
an 2
and 7
anguish 1
another 1
antirepublican 1
arrest 1
as 5
at 5
attempts 1
bad 1
be 2
beat 1
being 2
believing 1
between 1
big 1
blood 1
bond 1
brand 1
brutal 1
bully 1
by 2
cal 8
can 1
cannot 1
capable 1
catholic 1
character 1
chien 1
chooses 1
come 1
contributes 1
crilly 2
crotte 1
daughter 2
de 1
deal 1
death 2
depression 1
describing 1
develops 1
does 1
driver 2
estate 1
even 3
factor 1
falling 1
father 1
feel 1
feeling 1
feelings 1
feels 1
fend 1
finds 1
follow 1
following 1
for 3
forehead 1
friend 2
from 2
general 1
getaway 1
giving 1
going 1
grateful 1
grows 1
guilt 2
hatred 2
he 8
held 1
her 2
high 1
him 4
himself 3
his 14
in 11
inch 1
inferiority 1
initial 1
intensified 1
into 1
intruding 1
ira 1
ireland 1
is 8
it 1
lacks 1
last 1
life 2
light 1
line 1
love 3
lucy 1
mainly 1
major 1
make 1
man 1
manifest 1
marcella 3
matters 1
mental 1
middle 1
minority 1
more 1
mother 2
murder 2
murderous 1
name 1
northern 1
not 2
novel 1
number 1
observing 1
of 21
off 1
officer 1
on 1
one 2
only 1
operation 1
opinion 1
or 1
orangemen 1
own 1
part 3
physical 1
played 1
police 1
protestant 1
pure 1
purge 1
readily 1
reflection 1
regard 1
repent 1
reserve 1
rest 1
same 1
school 1
seeing 1
seems 1
selfesteem 1
selfhatred 2
selfloathing 1
sense 1
sickness 1
slain 1
smell 1
so 1
someone 1
source 1
stamped 1
stand 1
such 1
swearing 1
take 1
taking 1
terms 1
that 4
the 21
themes 1
themselves 1
thinking 1
this 4
time 1
title 1
to 13
too 1
transformed 1
treatment 1
trying 1
unhappiness 1
upon 1
uses 1
was 1
way 1
ways 1
weakness 1
when 1
which 4
while 1
who 3
wife 1
with 4
within 2
work 1
works 1
worse 1
worthy 1
would 1
you 1
