2030129
/m/06gblz
/m/06gblz
Lewis Carroll

{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy"}
1 7
10 3
100 1
11 2
12 3
13 3
14 1
1415 1
15 1
16 2
17 2
18 2
2 4
20 2
208 1
21 2
22 2
23 2
24 2
25 2
3 2
4 2
5 3
6 3
7 2
8 2
a 90
abandoned 1
abilities 1
able 1
abolished 1
about 9
abruptly 1
absentmindedly 1
accelerated 1
accent 1
accident 1
account 1
act 1
admits 1
admittedly 1
advice 1
affectations 1
africa 1
african 1
africans 1
after 8
afterlife 1
again 4
against 2
agreement 1
agrees 1
all 4
also 3
altered 1
alternative 1
although 2
always 1
ambassador 3
amounts 1
amulet 1
an 15
and 105
anger 1
animal 1
animals 1
another 2
answers 1
antisocialist 1
any 1
anybody 1
anywhere 1
appear 1
appears 2
apples 1
are 12
argues 1
around 1
arrival 1
arrived 1
arrives 2
arriving 1
arthur 29
as 10
ask 1
asking 1
asks 5
asleep 4
assembled 1
astonished 1
at 21
attempt 2
auction 1
auctioning 1
auctions 1
audience 1
away 2
axioms 1
back 5
badly 1
ball 1
banquet 1
barometer 1
baron 1
bazaars 1
be 8
beach 1
bear 1
beard 1
bearing 1
bears 1
because 3
become 1
becomes 2
been 3
beetle 1
before 3
beggar 4
being 1
beings 1
believe 1
beneath 1
bessie 2
best 1
between 1
beverage 1
birthday 2
bits 1
black 3
block 1
blocks 1
blue 1
boasts 1
bored 1
boy 1
bread 2
breakfastsaloon 2
bred 1
brief 1
briefly 2
bright 1
brightest 1
brings 1
broke 1
bruno 35
bullets 1
but 5
butter 1
buys 1
by 17
cage 1
cake 1
called 3
came 1
can 1
candle 1
cannot 1
captain 1
carriage 5
carry 1
cartload 1
cases 1
castle 1
casts 1
catch 2
catches 1
catching 1
causes 1
celebrations 1
ch 4
chancellor 8
change 1
changes 2
changing 1
chant 1
chapter 49
chapters 1
charity 2
cheat 1
cheating 2
children 2
chooses 1
chronicle 1
church 2
civilized 1
climbs 1
clothes 1
club 1
coin 1
college 1
come 1
comes 1
company 4
compartment 1
competitive 1
complain 1
concerns 1
condemning 1
condemns 1
confused 1
conspiracy 1
consultation 1
continuation 1
contrive 1
conversation 2
convince 1
correct 1
corresponding 1
country 3
couple 1
crashes 1
craze 2
creepers 1
crops 1
croquet 1
dancing 1
daughter 1
day 5
days 4
dead 1
deadly 1
death 1
deceived 1
december 1
declared 1
declines 1
deliberately 1
delirious 1
delivers 3
demonstration 1
demonstrations 1
describes 4
describing 1
designed 1
despair 1
destination 1
devices 1
devised 1
dictatorial 1
different 2
dinner 1
directs 1
discomfort 1
discouraged 1
discover 2
discovered 1
discovering 1
discuss 6
discusses 2
discussion 3
disguises 1
distracts 1
do 2
doctor 3
document 1
does 1
dog 2
dogland 1
doll 1
door 2
doppelgeist 1
doubling 1
down 2
dozens 1
drag 1
drags 1
dreaming 1
dress 1
dressed 1
drink 1
drives 1
drowns 1
each 1
ear 1
earl 12
earth 1
eat 1
eggs 6
elect 1
elephant 1
elevate 1
elfland 2
elveston 5
emperor 2
emperorthe 1
empress 1
encounters 2
end 2
engaged 3
engagement 2
engineering 1
english 1
enlarge 1
enough 1
ensues 1
entered 1
entering 1
enters 1
eric 9
essentially 1
eugenically 1
even 1
event 1
eventually 1
ever 3
every 1
everybody 1
everyone 2
evident 1
evolves 1
examinations 1
experiment 1
experiments 1
explaining 1
explains 1
extra 1
fact 1
fail 1
fails 1
fairyland 3
faith 1
falls 5
family 1
fancy 1
farm 2
farmer 2
farmers 1
fast 1
fate 1
father 6
fayfield 3
feet 1
fetch 1
fever 2
filled 1
finally 2
find 1
finding 1
finds 9
first 5
flame 2
flea 1
flowers 3
followed 1
follows 1
food 1
for 23
forester 2
fortunatus 1
fortunes 1
found 1
free 1
friend 1
frogs 2
from 9
fruit 2
full 1
garden 4
gardener 4
gate 1
generations 1
german 1
get 1
gets 2
getting 2
ghosts 1
giant 1
girl 2
give 3
given 1
gives 2
giving 3
go 5
goes 2
going 1
golden 1
gone 2
got 1
government 1
grave 1
gravity 1
gravitypowered 1
guestroom 1
guests 1
gullibility 1
had 3
hadnt 1
half 2
hall 6
happen 1
harbour 1
harbourtown 1
harddrinking 1
hare 1
has 15
have 9
having 4
haybale 2
he 48
health 1
hear 1
hears 3
heart 1
help 2
helping 1
helps 1
her 9
herr 6
high 2
higher 1
highly 1
him 14
himself 4
his 34
home 4
honeymoons 1
horizontal 1
horrified 1
horse 1
horses 1
house 4
how 9
human 1
hundred 1
hunt 2
hunter 1
hunters 1
hunts 2
hurricane 1
hurry 1
husband 1
idly 1
if 3
ill 1
illustration 1
immediately 1
implied 1
impressed 2
in 43
inches 1
includes 1
including 1
incomprehensibility 1
incomprehensible 1
inconvenient 1
india 1
informs 1
inhabited 1
ink 1
insane 1
insanity 1
instead 2
instigated 1
intentions 1
interesting 1
interlude 2
interrupted 1
into 8
intrigues 1
introduces 1
invention 1
invisibly 1
invites 1
involve 1
involves 1
is 50
it 11
item 1
its 1
ivory 1
jam 1
jester 1
jewels 1
jobs 2
judged 1
junction 2
just 1
justify 1
keeping 1
kept 1
kind 1
king 2
kingdom 2
kings 1
knee 1
know 1
knows 1
lady 11
lame 1
large 1
largest 1
lark 1
last 5
later 5
laugh 1
laughs 1
leads 2
learn 2
learns 3
least 1
leave 1
leaves 2
leaving 1
lecture 3
lectured 1
lecturers 2
left 1
legend 1
less 4
lessons 2
letter 1
letting 1
library 1
life 1
light 4
lighter 1
lindon 4
line 1
lined 1
lines 1
linguist 1
lion 2
listens 1
little 1
lives 1
livinghe 1
lockets 1
lodgings 1
london 2
long 3
looking 2
looks 1
loud 1
love 5
luggage 1
lukewarm 1
machine 1
mad 1
made 4
make 2
making 1
man 4
many 1
map 2
maps 1
marriage 1
matildajane 1
means 1
meant 2
meet 4
meeting 1
meets 3
megaloscope 2
mein 6
memorized 2
mentioned 1
merchant 2
met 3
method 2
might 1
mile 5
milefinally 1
milk 1
minute 1
modern 1
monarch 1
money 6
month 1
months 1
moralising 1
more 8
morning 2
most 1
mother 1
motivated 1
mouse 2
mph 1
muriel 25
musical 1
must 1
mysterious 2
name 2
narrator 40
natives 2
nature 2
necessity 1
need 2
nero 1
never 1
new 3
news 1
next 5
no 4
nobody 4
none 1
nor 3
normally 1
not 2
notices 1
now 1
octagonal 1
oddly 1
of 70
off 9
offered 1
old 4
older 1
on 18
one 10
only 2
open 1
opposite 1
or 4
order 1
organised 1
orme 2
other 6
ottoman 1
out 7
outland 3
outlandish 2
oval 1
over 5
overhears 1
overlooking 1
own 1
paintballs 1
palace 2
park 1
part 2
parties 1
party 5
pascal 1
pass 3
paul 1
people 3
perfectly 1
performance 1
persuade 1
persuades 1
peter 1
phlizz 1
piano 1
piastres 1
picnic 3
pig 1
pigtale 2
pincushion 1
pitches 1
place 1
planet 1
planetary 1
planned 1
plays 1
plungebath 1
porcupine 1
portray 1
possible 1
posy 1
pouring 1
powers 1
preceding 1
present 2
presentable 1
presses 1
prevent 2
previous 1
pricing 1
principal 4
principals 1
private 1
problems 1
process 1
professor 23
project 1
promised 1
pub 1
public 2
pupils 4
purse 1
pursuits 1
put 1
railway 2
rambling 1
ranges 1
rational 1
real 2
realize 2
realized 2
recites 2
rectify 1
red 3
refuses 1
regret 1
relies 1
religion 1
remarkable 1
remember 1
rentamob 1
repeated 1
repeats 1
replaced 1
reports 1
requests 1
rereads 1
resemblance 1
return 1
returned 1
returning 1
returns 5
revealed 1
reverse 1
reversing 1
rich 2
ride 1
rises 1
road 1
rolls 1
room 3
rubs 1
ruined 1
run 3
runaway 1
runs 2
sabbath 1
said 1
saloon 2
same 3
sanity 1
saves 1
saying 1
says 2
scene 2
scenes 1
scheme 1
scholar 2
scholars 1
scholarship 3
school 2
schools 2
search 3
see 3
seems 2
sees 2
selfpleasing 1
sent 1
set 1
sets 1
several 2
shakespeare 1
she 6
should 2
show 1
