1386077
/m/04yflr
/m/04yflr
Robin Hobb
2003
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 11
after 1
an 1
and 7
apprentice 1
are 2
arrives 1
as 3
aslevjal 2
assassin 2
at 2
band 1
be 2
beat 1
beating 1
begun 1
behind 1
beneath 1
better 1
between 1
black 1
boy 1
bring 2
buried 1
but 2
by 2
causing 1
certainly 1
chade 2
challenge 1
changed 1
complete 1
conclusion 1
consistent 1
constantly 1
cost 1
courage 2
currents 1
dark 1
death 1
deep 1
determined 2
distant 1
does 1
down 1
dragon 5
duchies 1
dutiful 1
duty 1
elliania 1
end 1
everyone 1
failure 1
fall 1
familiar 1
fascination 1
fate 2
female 1
figure 1
finally 1
find 1
fitz 3
flowing 1
fool 4
for 1
foreign 1
from 2
frozen 1
fulfil 1
future 1
gigantic 1
greeted 1
growing 1
had 1
happy 1
have 1
having 2
he 1
head 1
heart 1
help 1
her 1
him 1
his 5
ice 1
icefyre 1
idea 1
illseasick 1
in 7
intent 1
intentions 1
is 13
island 2
islands 1
isle 1
it 1
its 1
jonah 1
keep 1
king 1
kingdoms 2
leaving 1
legend 1
legends 1
making 1
married 1
menacing 1
mistakes 1
must 1
named 1
narcheska 2
new 1
not 2
now 1
obsession 1
odds 1
of 9
on 5
once 1
only 1
or 3
other 1
out 2
party 1
path 1
peace 1
plagued 1
play 1
point 1
powerful 1
prince 3
prophet 1
quest 1
random 1
reaches 1
reduced 1
regard 1
risk 1
role 1
sailing 1
sailors 1
say 1
secure 1
separate 1
serving 1
set 1
ship 1
six 1
skill 1
skilldreams 1
skilling 1
skillmaster 1
slay 1
slaying 1
small 1
so 2
spectacular 1
stand 1
story 1
success 1
syndrome 1
takes 1
tale 1
task 1
that 1
the 35
their 1
there 1
they 1
thick 1
this 1
to 13
tone 1
towards 1
uncertain 1
unhappy 1
universe 1
voices 1
war 1
was 1
waters 1
way 1
welcomes 1
what 1
whatever 1
which 2
white 1
who 2
whom 1
why 1
will 1
wings 2
with 3
yet 1
