8814550
/m/027kp_k
/m/027kp_k
Joanna Russ
1970
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/026ny": "Dystopia"}
a 3
acts 1
all 2
and 8
another 1
any 1
are 3
areas 1
as 4
author 1
basically 1
be 1
beings 1
between 1
bureaucracypolice 1
by 1
channeled 1
citizens 1
confrontation 1
contrast 1
control 1
covered 1
creativity 1
develop 1
developed 1
development 1
develops 1
diametrically 1
different 1
each 1
elite 1
encouraged 1
end 1
exist 1
farming 1
followed 1
for 1
formats 1
grosslyoverpopulated 1
has 1
housing 1
however 1
human 2
immortal 1
in 3
individual 1
individuality 1
industrial 1
industry 1
into 1
introduces 1
is 5
isolated 1
it 1
its 1
known 1
limited 1
maintain 1
method 1
much 1
narrative 1
natural 1
nature 2
not 1
of 2
on 3
only 1
opposite 1
other 1
oversees 1
path 1
planet 2
planetary 1
population 1
possible 1
powerful 1
prepared 1
progresses 1
purpose 1
rapidly 1
remnants 1
resort 1
respected 1
rigid 1
ruthless 1
social 1
spiritual 1
state 1
suppressed 1
systems 1
telekinesis 1
telepathy 1
that 1
the 7
these 1
this 2
to 7
uniquely 1
which 1
world 2
