1789858
/m/05x40j
/m/05x40j
Janusz Zajdel

{"/m/06n90": "Science Fiction", "/m/026ny": "Dystopia"}
a 13
about 3
accessible 1
accidentally 1
activity 1
addition 1
adhere 1
all 4
allow 1
allowed 1
an 3
and 8
are 5
around 1
artificial 2
as 4
ballpen 1
be 2
because 1
been 2
believe 1
blocked 1
buildings 2
built 3
but 3
by 5
centre 1
centrifugal 1
charge 1
cheat 1
check 1
clocks 2
colony 2
conditions 1
controlled 1
coriolis 1
cortazar 1
could 1
customs 1
decided 1
devi 1
devices 1
devised 2
differ 1
direction 1
discovered 2
discovers 1
distant 1
eavesdropping 1
electronic 2
equal 1
especially 1
even 1
every 4
exerting 1
expedition 1
experiment 2
exploit 1
fictional 1
finally 1
finds 1
first 1
floor 1
for 4
force 3
forces 1
from 3
gardens 1
general 1
get 1
good 1
goods 1
government 1
gravity 1
group 1
had 4
have 2
he 4
hero 1
him 1
his 1
human 2
impression 1
in 11
inhabitants 1
inside 1
invented 1
is 12
it 2
itself 1
keeping 1
knowledge 1
koalang 1
lack 1
language 2
law 1
leader 1
length 1
live 1
living 6
lying 1
made 1
main 1
majority 1
make 2
making 1
material 1
mineral 1
minutes 1
natural 1
no 1
not 4
objects 1
of 14
officers 1
on 7
one 1
only 2
opposite 1
orbit 1
orbiting 1
order 2
other 2
out 1
paradise 6
paradisians 1
paradyzja 1
pass 1
people 1
personal 1
physics 2
place 1
planet 4
poetic 1
possible 2
presented 1
primarily 1
quite 1
really 1
regime 2
research 2
rich 1
rinah 1
ring 3
ringtube 1
rooms 4
safety 1
service 1
settle 1
settlement 1
settlers 2
settling 1
simple 1
simulated 1
so 1
some 2
space 4
spring 1
star 1
statements 1
station 4
story 1
strictly 1
such 3
suitable 2
suppress 1
surface 1
system 3
taken 1
tartar 5
that 9
the 29
them 3
then 2
there 2
they 1
things 2
this 2
those 1
through 1
to 14
totalitarian 1
tracked 1
train 1
transparent 1
truth 1
trying 2
tube 1
upon 1
used 1
various 1
verification 1
was 4
watches 1
ways 1
well 1
what 1
when 1
whether 1
which 2
why 1
work 1
would 2
you 1
