11360278
/m/02r8ysx
/m/02r8ysx
Carlos Fuentes

{"/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 4
admiration 1
also 1
and 5
as 3
at 1
atlanferrara 1
backdrop 1
berlioz 1
blend 1
border 1
by 2
characterized 1
climax 1
comes 1
damnation 1
decades 1
diva 1
ego 1
eve 1
fable 1
fades 1
fantasy 1
faust 1
favorite 1
female 1
gabriel 1
had 1
hector 1
his 2
human 1
in 1
independence 1
inez 1
intensity 1
into 1
is 3
last 1
maestro 3
male 1
met 1
metaphor 1
mutual 1
nearly 1
never 1
of 6
often 1
on 2
one 1
only 1
parallel 1
performance 1
portrayed 1
possibly 1
prada 1
primeval 1
realism 1
reflects 1
relationship 3
reunion 1
sense 1
streams 1
the 9
their 2
this 1
though 1
three 1
thrice 1
to 1
two 1
union 1
up 1
upon 1
well 1
which 1
with 1
work 1
