2095956
/m/06lv_7
/m/06lv_7
Terry Goodkind
2006-07-18
3000 1
a 24
able 4
about 1
actually 1
affected 1
after 4
again 3
ago 2
alive 1
all 4
allowed 1
allowing 1
along 1
also 2
an 4
and 41
ann 1
another 1
any 2
anyone 5
anything 1
appear 1
appears 1
are 5
armina 1
army 2
arrives 1
as 7
at 5
attacked 1
attempt 1
attempts 1
awakens 1
away 2
back 5
barracus 6
battle 2
be 6
beast 3
because 2
become 3
been 1
befallen 1
before 4
begging 1
being 6
beliefs 1
believe 3
believes 1
between 1
bond 1
book 7
born 1
boxes 2
brief 1
bring 1
bringing 2
broken 1
bureaucrats 1
burn 1
bury 1
but 6
by 15
called 1
came 1
camp 2
can 2
cannot 1
captive 3
captured 1
captures 1
cara 1
caska 2
catch 1
catches 1
caught 1
caused 1
causing 1
cecilia 1
central 1
chainfire 7
children 1
chimes 4
claimed 1
cliffhangers 1
close 1
come 2
comes 1
command 1
commanders 1
commanding 1
condemned 1
confrontation 1
conjured 1
continue 1
continues 1
control 1
convince 1
correctly 1
corrupted 3
corruption 1
created 1
crops 1
cryptic 1
cut 1
dark 5
dead 4
deadly 1
death 4
deciding 1
desire 1
despite 1
destroy 1
destroys 1
destruction 2
dh 1
dhara 1
dharan 3
die 2
disable 1
discovers 1
discussing 1
division 2
do 1
dont 1
dozens 1
draw 1
dreamlike 1
drive 1
driving 1
during 1
each 1
earlier 1
ears 1
ebissinia 2
emergency 2
empire 2
enacted 1
end 2
endless 1
ends 1
ensure 1
entire 1
erased 1
escape 2
even 3
events 1
ever 1
examine 1
exists 1
explains 1
fake 1
family 1
few 1
fight 2
final 2
find 4
fire 1
first 3
flow 1
follow 2
for 9
forces 4
forgets 1
form 1
fourth 1
from 8
game 1
garrisons 1
gift 2
gives 2
glimpse 1
goes 1
gone 1
good 1
great 1
grips 1
had 5
happen 1
happens 1
hard 1
has 6
have 4
he 20
head 1
heads 1
her 12
here 1
herself 1
hid 1
hides 1
him 10
himself 1
his 13
hordes 1
horrific 1
horse 1
how 1
hunt 1
hurry 1
if 2
impale 1
impaling 1
imperial 8
important 2
impossible 1
impressed 1
in 25
indeed 1
infecting 1
inn 1
innkeeper 1
instantly 1
instigates 1
instilled 1
instruction 1
instructs 1
into 5
investigate 1
is 25
issues 1
it 7
jagang 5
jala 1
jebra 2
jin 1
just 3
kahlan 16
keep 4
kill 2
killing 1
knew 1
know 1
land 2
last 1
laying 1
lead 1
learnt 1
leaves 1
left 5
legion 1
let 1
life 7
lines 1
linked 1
listening 1
long 1
love 1
magic 6
main 3
major 1
make 1
making 1
man 1
master 1
matter 1
meant 1
meanwhile 1
measures 1
memories 2
men 2
message 1
mind 1
minds 1
minor 1
mother 1
much 1
must 2
name 1
nathan 1
needs 2
never 2
new 2
nicci 8
night 3
no 1
not 7
now 3
of 45
off 2
officer 1
old 2
on 9
once 1
one 6
only 4
opposes 1
or 2
orden 2
order 12
orders 1
other 1
others 1
out 1
outfit 1
over 1
overlap 1
palace 2
pass 1
past 1
pendant 1
people 3
performed 1
phantom 1
place 1
places 2
play 2
player 1
pleased 1
portal 1
position 2
power 7
powerful 2
preaches 1
prediction 1
presence 1
previous 2
previously 1
princess 1
problem 1
profess 1
promises 1
prophecies 1
proves 1
put 1
puts 1
queen 1
quest 2
questioned 1
radahan 1
rahl 1
reality 1
realizes 3
really 1
recover 1
reechani 1
refusing 1
regardless 1
rejoins 1
release 1
remember 2
reminder 1
revealing 1
reveals 1
revelation 1
revives 1
richard 34
right 2
room 3
ruby 1
rule 1
samuel 2
save 1
saved 2
says 1
second 1
secret 1
secrets 2
see 5
sees 2
senses 1
sentrosi 1
separated 1
shall 2
she 4
shocked 1
shota 8
should 1
shunts 1
side 1
siege 1
since 1
sister 4
sisters 6
situations 1
six 3
skill 1
skin 1
slashandburn 1
slaughtered 1
sliph 4
slowly 1
smaller 1
so 1
soldiers 2
someone 1
something 1
somewhere 1
special 1
spell 13
stabbed 1
stakes 2
starts 1
starve 1
stated 1
states 1
stating 1
still 2
stop 1
strategist 1
strategy 1
strike 1
stronghold 1
subtractive 1
such 1
superiority 1
supply 2
support 1
surprised 1
sword 1
tactic 1
taken 3
takes 1
tamarang 1
team 1
tell 2
temple 2
terrors 1
test 1
testify 1
that 31
the 131
their 6
them 9
then 1
there 5
therefore 1
they 9
thinking 1
this 2
those 1
though 1
thought 1
thousands 1
threatened 1
three 2
threw 1
through 1
time 4
title 1
to 58
together 1
tortured 1
touches 1
tovi 5
toward 1
trail 1
travel 1
traveling 2
travels 1
tricking 1
tries 1
troops 3
trying 2
ulicia 2
unaffected 1
unbeknownst 1
unconvinced 1
under 1
understand 2
understands 1
underworld 1
undo 1
units 1
up 3
upon 1
vasi 1
verification 2
violet 3
vision 1
visit 1
vulgar 1
waiting 1
wants 1
war 4
warfare 1
was 11
wasting 1
way 2
web 3
went 1
what 4
when 5
where 3
while 6
white 1
who 9
whole 2
why 1
wife 1
wilds 1
will 6
window 1
winds 1
winter 1
wisps 3
witch 1
with 12
without 1
wives 1
wizard 9
woman 1
women 1
working 1
world 6
would 1
wrong 1
years 2
zedd 2
