23640455
/m/06zlfq5
/m/06zlfq5
Philip Lee Williams

{"/m/02xlf": "Fiction"}
a 8
about 2
alone 1
also 1
american 1
an 1
and 8
andrew 5
andrews 1
as 1
at 1
before 2
begins 4
best 1
beyond 1
boy 1
brings 1
but 1
callie 1
can 1
central 1
chronicles 1
college 1
comes 1
country 1
cramped 1
decided 1
diagnosed 1
died 1
difficult 1
disease 1
does 1
draws 1
each 1
earlier 1
edge 1
end 1
family 1
feel 1
feels 1
find 1
focus 1
forego 1
forward 1
generations 1
georgia 1
had 1
has 2
have 1
he 10
herself 1
hes 1
his 5
history 2
home 1
how 1
in 3
inevitable 1
interests 1
into 1
is 2
its 1
journal 1
junior 1
kind 1
know 2
lachlan 1
lake 1
last 2
learn 1
learning 2
led 1
life 5
lifeextending 1
lives 2
looks 1
loved 1
mckenzie 1
native 1
natural 1
never 1
new 1
north 1
not 1
now 1
of 6
on 3
once 1
other 1
pass 1
pond 1
professor 1
reconnects 1
reflections 1
retired 1
returned 1
same 1
see 1
shadow 1
so 1
solitude 1
some 1
spend 1
strong 1
sullivan 1
teach 1
terminal 1
that 1
the 9
they 2
time 2
to 8
toward 1
transcendence 1
treatments 1
understanding 1
what 2
where 1
who 1
widow 1
wife 1
willie 2
willies 1
with 3
woman 1
world 3
year 2
years 1
yet 1
young 1
