2629145
/m/07swcw
/m/07swcw
Boris Strugatsky

{"/m/06n90": "Science Fiction"}
2178 1
a 15
abalkin 18
about 4
ad 1
adds 1
admits 1
agent 2
agreed 1
alarmed 1
all 2
alone 1
also 1
always 1
ambush 1
among 1
an 7
and 14
anthill 1
ants 1
apparently 1
are 1
argument 1
arrival 1
artifact 1
as 5
associates 1
at 2
be 1
because 1
become 1
been 1
beetle 1
begins 1
behaving 1
believe 1
believed 1
believes 1
between 1
book 1
born 2
both 1
bromberg 2
but 5
by 6
called 2
carried 1
carrying 1
case 1
character 1
chief 1
classification 1
closed 1
closely 1
comcon2 3
come 1
comes 2
confusion 1
connection 1
contact 1
convince 1
cultures 2
cyrillic 2
dangerous 2
day 1
deceased 1
deep 1
demands 1
detals 1
detonator 1
detonators 2
dies 1
discovered 1
discovers 1
discs 1
does 1
down 1
each 3
earth 6
earthlings 1
education 1
effect 1
elbow 1
embryos 1
empire 1
engineered 1
enters 1
eventually 1
excellency 1
experienced 1
extraterrestrial 2
far 1
fiercest 1
find 1
finds 1
floor 1
follow 1
follows 1
for 3
foundling 1
foundlings 2
friends 1
from 4
glumova 1
golovan 1
guessing 1
had 4
has 4
he 5
him 5
himself 1
his 7
hisher 1
historian 1
hope 1
however 1
human 1
humans 1
identical 1
implied 1
in 12
including 1
indicates 1
investigator 1
is 6
island 1
issac 1
issued 1
it 1
its 1
japanese 1
juu 1
kammerer 12
knowledge 1
kornei 2
laid 1
late 1
leads 1
leave 1
left 2
letter 2
lev 2
likens 1
long 1
man 1
many 1
materials 2
maxim 3
maya 1
mec 4
meet 1
men 1
might 1
millimeters 1
museum 3
mysteriously 1
named 1
nevertheless 1
night 1
no 1
not 3
novel 1
of 18
off 1
office 1
on 8
one 4
only 1
opponent 1
or 1
order 3
orders 2
origins 1
other 1
own 1
paper 1
parents 1
perceive 1
planet 1
policy 1
poses 1
possible 1
potentially 1
power 1
prior 1
program 1
progressor 2
projects 1
provided 1
psychological 1
put 1
rather 1
reaction 1
received 1
receives 1
recent 1
reluctantly 1
report 1
resembling 2
return 2
returned 1
returning 1
revealed 1
rudolf 1
safety 1
same 1
san 1
saraksh 2
sarcophagus 1
search 1
secret 1
section 1
set 1
sets 1
several 1
sheet 1
shokn 1
shot 1
sikorski 12
simply 1
situation 1
small 1
stepchildren 1
stored 2
story 1
strange 2
strangely 1
structures 1
studying 1
subconsciousness 1
suggests 1
supposed 1
surprise 1
symbol 3
talked 1
tell 1
test 1
that 14
the 36
their 2
them 1
these 1
they 1
thirteen 2
this 2
threat 1
three 1
throughout 1
times 1
to 24
tonight 1
track 1
trap 1
tries 1
truth 1
undercover 1
unnamed 1
upon 1
verbal 1
via 1
videophone 1
voluntarily 1
wanderers 3
was 7
watch 1
well 1
were 2
what 1
when 1
where 1
which 2
who 5
with 5
witnesses 1
work 1
worked 1
working 2
yashmaa 2
