1897581
/m/064m9c
/m/064m9c
John Fowles
1985
{"/m/014dfn": "Speculative fiction", "/m/02p0szs": "Historical fiction", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
1 1
2 1
3 1
4 1
a 19
about 2
actually 1
admits 1
advances 1
against 1
aged 1
all 1
also 1
american 1
an 4
and 16
ann 1
are 3
area 1
arranged 1
arrive 1
as 5
at 1
aunt 1
ayscough 2
bartholomew 6
be 1
becomes 1
been 1
before 1
birth 1
blacksmith 1
book 1
both 1
but 3
by 6
calls 2
casually 1
cave 3
clear 1
committed 1
concerning 1
conducted 1
consciousness 1
contact 1
contemporary 1
converts 1
craft 2
cruelty 2
cure 1
deceived 1
deception 1
describes 1
dick 3
disappearance 1
disclose 1
discuss 1
disobedience 1
divine 1
duke 1
elope 1
employed 1
england 1
eternal 1
eventually 1
exmoor 1
experience 2
extraterrestrials 1
facsimile 1
family 1
fate 1
father 3
female 1
fictional 1
films 1
finds 2
five 1
floating 1
followed 1
for 1
forced 1
found 1
free 1
from 4
future 2
gentleman 1
gives 1
go 1
goes 1
group 1
guilt 1
had 1
hang 1
hanged 1
has 2
he 7
heaven 1
henry 1
her 6
herself 2
him 1
himself 1
hired 1
his 8
holy 1
human 2
impotence 1
in 7
inheritance 1
initial 1
inn 1
inside 1
interpret 1
interspersed 1
interview 1
interviews 2
is 4
issues 1
it 1
john 1
jones 5
journey 2
june 1
knowledge 2
lacy 1
lady 1
later 1
lawyer 1
leader 1
learn 1
leave 2
lee 2
letters 1
loses 1
louise 1
magazine 1
maggot 1
maid 1
man 1
marriage 1
marries 1
master 1
matter 1
may 1
meanwhile 1
meet 1
modern 1
more 1
mother 1
mystery 1
named 1
narration 3
near 1
never 1
news 1
noble 1
not 1
objective 1
occult 1
of 17
on 1
opens 1
or 3
out 1
outside 1
overall 1
own 1
pages 1
panorama 1
parents 1
party 1
performed 1
place 1
possibly 1
pregnant 1
presumably 1
purpose 2
pursuing 1
quaker 1
quiet 1
raped 1
readers 1
rebecca 6
rebuffs 1
refusal 1
remote 1
retold 1
returns 1
reveal 1
revelation 1
ritual 1
room 1
rural 1
satan 1
satanic 2
saw 1
says 1
scientific 1
secret 1
secure 1
seeking 1
seem 1
seen 1
sees 2
servant 1
sexual 1
shaker 1
shakerism 1
shakers 1
she 9
small 1
snatches 1
solved 1
some 1
son 1
soon 1
spirit 1
staying 1
stops 1
story 3
strange 1
subsequent 1
suffering 2
suicide 1
supposed 1
surmises 1
takes 1
tale 1
tells 1
terror 1
testimony 1
that 6
the 23
them 3
then 4
there 1
they 5
thirdperson 1
this 3
through 1
thurlow 1
time 1
to 14
together 1
took 1
transcripts 1
travel 1
traveling 1
travellers 3
trinity 1
uncle 1
undresses 1
variations 1
version 2
versus 1
view 1
village 1
vision 1
visions 1
visiting 1
wakes 1
was 6
way 1
we 1
wealthy 1
well 1
were 1
what 1
where 1
which 1
who 3
will 1
wisdom 1
wishes 1
with 3
