16235225
/m/03wdr_d
/m/03wdr_d
Nalo Hopkinson
2000
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/03npn": "Horror"}
a 21
abandonment 1
abetifa 1
abitefa 2
abort 1
about 2
abused 1
accepting 1
access 2
accompanied 1
accusing 1
addition 1
adjusts 1
admitting 1
adopt 1
adulterer 1
adventures 1
affair 1
after 3
again 1
alcoholism 1
alien 1
all 2
allow 2
alternate 1
alternatedimension 1
although 1
among 1
an 5
and 33
antoine 2
antonio 3
antonios 2
are 2
arrives 2
as 10
ashamed 1
assuming 1
at 3
away 1
baby 1
basis 1
be 1
becomes 2
been 2
befriending 1
befriends 1
begins 1
behind 1
being 6
better 1
between 1
birth 2
birthday 1
blacksmiths 1
blade 1
blaming 1
boastful 1
born 1
both 2
box 1
boy 1
built 1
bush 3
by 8
car 1
caribcolonized 1
carnival 2
causing 1
challenges 1
characters 1
chichibud 2
chichibuds 1
child 3
claude 1
cockpit 1
concerned 1
confronts 1
convicts 1
costume 1
county 1
daily 1
daughter 1
death 3
defends 1
defense 1
delivery 1
demanding 1
depression 1
deputy 1
desire 1
destroy 1
discovers 1
disgust 1
distraught 1
do 1
doctor 1
does 2
dominates 1
douen 5
dress 1
dressing 1
driving 1
duel 2
during 3
each 1
end 1
ends 1
escape 1
eshu 1
even 1
eventually 3
exaggerated 1
example 1
exile 1
exploits 1
eye 1
face 2
fails 1
familiar 1
far 1
father 4
fathers 1
fears 1
feeling 1
feels 1
fend 1
figure 1
finally 2
flees 1
for 16
forbidding 1
forcing 1
form 1
found 1
friendship 1
from 2
future 1
girl 1
gives 1
gladys 2
good 1
granny 5
growing 1
grows 1
guilt 3
guise 1
habib 1
halfway 4
hanging 1
harshly 1
has 3
having 1
he 3
head 1
hears 2
help 1
her 23
herself 2
highlight 1
him 3
himself 1
his 5
home 1
honor 1
hours 1
human 3
hunted 1
imagined 1
in 14
inadvertently 1
incident 1
information 2
injected 1
internetlike 1
interplanetary 1
into 4
ione 3
is 9
it 1
its 1
janisette 8
jour 1
junjuh 2
killed 1
killing 2
kills 1
king 1
kings 1
knowing 1
known 1
leads 1
learning 1
leaves 1
left 1
letting 1
life 2
lifestyle 1
likewise 1
live 3
living 1
local 3
locals 1
locked 1
looking 3
lover 3
machete 1
made 1
make 1
man 1
melonhead 5
mental 2
met 1
michael 2
mother 2
move 2
mythical 1
naming 1
nanny 5
nanomites 1
narrated 1
nearest 1
new 5
night 3
novel 1
now 1
of 22
often 1
older 1
on 7
once 1
oncoming 1
one 2
operates 1
other 3
others 1
out 2
ouvert 1
over 4
overtone 1
own 1
pass 1
performers 1
person 1
persona 2
place 1
plan 1
planet 1
poisoned 1
pone 2
pones 1
portal 1
possible 1
pregnant 1
process 1
protagonist 1
provides 1
punishment 1
queen 4
raping 2
real 1
regular 1
relieved 1
religious 1
reluctantly 1
request 1
return 1
returns 2
revealed 1
revenge 1
rifle 1
right 1
robber 6
run 1
running 1
runs 1
season 1
secrets 1
seeking 3
self 1
selfdefense 1
sense 1
sensing 1
separating 1
serves 1
set 1
settlement 3
sevenyearold 1
several 2
she 15
sheriff 1
shift 1
sixteenth 1
sixth 1
slides 1
slowly 1
small 1
so 2
some 1
somewhat 1
son 1
sort 1
speaking 1
species 1
stay 1
stays 1
still 2
stillunborn 1
stories 1
story 2
strike 1
struggles 1
such 1
surrounds 1
swear 1
sweet 3
system 2
tailor 1
take 2
takes 4
tales 1
tan 32
tank 1
tans 2
tell 1
that 8
the 52
their 5
them 3
themselves 1
then 1
there 2
they 2
this 1
those 1
through 2
time 2
tin 1
to 32
together 2
told 1
torn 1
toussaint 3
town 2
travel 2
traveling 1
tree 7
trees 1
tubman 1
two 6
ultimately 1
under 1
universe 1
until 2
up 6
upon 1
use 1
vengeance 1
version 1
village 5
villages 1
visits 2
voice 1
wandering 1
was 1
where 1
which 1
while 3
who 6
widespread 1
wife 1
wifes 1
will 1
with 11
within 1
word 1
wrongs 1
years 1
