2490135
/m/07hjw8
/m/07hjw8
Raymond Briggs
1982
{"/m/02xlf": "Fiction", "/m/0py0z": "Graphic novel", "/m/08jhkx": "Anti-nuclear"}
a 6
about 2
according 1
acquaintance 1
advice 1
after 1
afternoon 1
air 1
almost 1
also 2
amongst 1
amount 1
an 2
and 8
approaches 1
are 2
as 6
attack 1
attempts 1
becomes 1
before 1
begin 1
belief 1
believe 1
best 1
bleak 1
bleeding 1
bloggses 2
blotches 1
blotted 1
book 3
both 2
briefly 1
brochure 1
burning 1
but 2
carry 1
certain 1
changed 1
characters 1
come 1
comedy 1
comic 1
confusion 1
considerable 1
constant 1
construction 1
control 1
corpses 1
couple 1
coupled 1
darker 1
day 1
days 2
death 1
do 1
effect 1
effects 1
elements 1
ends 1
enemy 1
england 1
exhibit 1
explosion 1
exposing 1
extremely 1
fact 1
fallout 3
follows 1
for 4
fresh 1
full 1
generates 1
gentle 1
gentleman 1
geopolitical 1
get 1
given 1
go 1
government 1
governmental 1
great 1
gums 1
hair 1
happened 1
has 5
have 1
heading 1
hear 1
hears 1
her 1
hilda 3
his 1
hopeless 1
horrors 1
hostilities 1
how 2
immediately 1
in 7
instead 1
into 1
is 1
it 3
jim 4
just 1
knows 1
large 1
leaflets 1
left 1
life 1
losing 1
make 1
message 1
misreading 1
missiles 1
mistake 1
more 1
most 1
nature 1
neighbours 1
normal 1
nostalgia 1
note 1
novel 1
nuclear 2
obliviousness 1
of 13
on 3
one 1
only 1
optimistic 1
out 2
outbreak 1
outlook 1
outside 1
people 1
praying 1
previously 1
probably 1
progresses 1
protect 1
purple 1
radiation 1
radio 1
radioactive 1
rainwater 1
regarding 1
reminisce 1
reminiscences 1
second 1
seen 1
serious 1
several 1
shelter 4
show 1
sickness 1
situation 3
smell 1
some 1
soon 1
starts 1
stay 2
steadily 1
story 1
suffer 1
suffers 1
survive 1
that 3
the 24
their 7
them 4
theme 1
themselves 1
they 8
this 1
three 1
time 1
to 7
towards 1
two 3
under 1
unknowingly 1
unshakeable 1
used 1
varicose 1
veins 1
vomiting 1
war 2
weeks 1
well 1
what 2
while 1
with 2
world 1
