12092516
/m/02vpldx
/m/02vpldx
Nancy Kress
1994
175 1
24hour 1
67 1
a 49
abomination 1
about 3
absence 1
absorb 1
access 1
accompanied 1
accuses 1
across 1
act 1
actually 1
adherence 1
adirondack 1
adjourned 1
admittance 1
advanced 2
advantage 1
after 3
again 1
against 2
age 1
agents 2
aims 1
aircar 1
alerts 1
all 5
allow 1
allowed 1
allowing 1
allows 1
alloy 1
almost 1
along 1
also 7
ambushed 1
america 1
americans 1
among 1
amongst 1
an 5
analysis 1
and 31
annie 3
answer 1
any 3
anymore 1
anyone 2
anything 2
appears 1
approach 1
are 9
arlen 4
arming 1
army 1
around 1
arrest 1
arrive 2
artist 1
as 11
assistance 2
assuming 1
at 4
attack 2
attempt 1
attempting 2
autotrophic 1
available 1
away 1
back 1
bacteriorhodopsin 1
be 7
beam 1
became 1
become 1
becomes 1
becoming 1
been 6
begin 1
beginning 1
behavior 1
behavioral 1
behind 1
being 2
billy 10
bitter 1
black 1
blackmail 1
blow 1
board 1
body 3
bodyguard 1
bold 1
bomb 1
both 1
break 2
breakdowns 1
brewing 1
bribes 1
bring 1
broadcast 2
broken 2
but 4
by 20
call 1
calling 3
calls 1
camden 1
can 5
cancer 1
cannot 2
capable 1
captive 1
captivity 1
care 1
case 2
casual 1
catch 1
cell 6
cells 1
cellular 1
certainly 1
change 2
changed 1
chaos 1
child 1
children 1
choose 1
cleaner 5
clear 1
clearance 1
closing 1
cogansville 1
colds 1
colin 1
comes 1
commissioned 2
community 2
comprehend 1
concert 2
concerts 2
conditioning 1
confided 1
conspiracy 1
constant 1
consternation 1
contains 1
contracts 1
control 2
could 2
country 1
coup 2
course 1
court 3
covington 1
crash 1
create 1
creation 1
crisis 1
cure 1
dangerous 2
databases 1
days 1
death 1
decided 1
decides 1
deeper 1
denied 1
dependent 1
desirable 1
destruction 1
detailing 1
diagnose 1
diana 11
didnt 1
dies 1
digestive 1
discover 1
discovered 1
discovers 2
disease 1
diseases 1
dismay 1
dissembler 6
dissembling 1
distribution 1
do 2
done 1
donkey 2
donkeycorporation 1
donkeygonenative 1
donkeys 5
dont 5
doug 1
down 3
dr 1
drew 9
due 1
dulled 1
duragem 6
during 2
east 5
eden 6
education 1
eight 1
elected 1
elevenyearold 1
elitism 1
else 1
embarrassing 1
empty 1
emptynest 1
encouraging 1
end 3
ends 2
energy 1
engender 1
enter 2
epicentersmdashand 1
escaping 1
even 2
eventually 1
everyone 1
exists 1
expedition 2
explain 1
explaining 1
explains 2
extensive 1
fact 1
fails 1
family 1
far 1
father 1
fear 1
federal 2
feedback 1
few 1
fight 1
finds 1
flees 1
flies 1
follows 2
food 3
for 17
force 1
foreign 2
forest 1
form 1
forth 1
fortunately 1
foster 2
four 1
francis 3
francy 1
francys 2
free 1
freedom 1
from 7
full 1
furtherresearch 1
gathered 1
genemod 2
genemodmdashand 1
geneticengineering 1
georgia 1
gets 1
girl 2
goes 2
government 1
governments 1
grassroots 1
gravrail 2
ground 1
group 2
groups 1
gsea 8
hacking 1
had 1
hair 1
handsoff 1
harmed 1
has 8
have 9
haven 1
having 2
he 15
head 1
hearing 1
heart 1
help 2
helped 1
her 13
herself 1
hides 1
him 5
himself 2
his 8
holoterminals 1
hopes 1
hoping 1
hour 1
how 2
however 1
hubbley 3
huevos 3
human 2
hunt 1
hunting 1
i 1
idea 1
if 1
ill 1
illegal 3
imagine 1
immediately 1
imprisoned 1
in 28
include 1
including 1
incognito 1
inconvenience 1
indistinguishable 1
influence 1
informed 1
infused 2
injected 1
injects 1
injury 1
insisting 1
insulting 1
intelligence 1
into 1
invulnerable 1
inward 1
is 40
isla 1
it 11
itmdashin 1
its 2
itself 2
jack 1
jail 1
jaunty 1
jimmy 2
joined 1
joins 1
judicial 1
jumped 1
jury 1
just 3
kane 2
keep 1
killed 1
know 3
knows 1
kowalski 1
la 1
lab 4
large 1
largeheaded 1
lead 1
leader 2
leading 1
learn 1
left 1
legally 1
leisha 4
level 2
lie 1
light 1
likewise 1
little 1
liver 4
livers 4
lives 1
lizzie 9
localized 1
longer 1
loose 1
lose 1
love 2
loves 1
lure 1
machinery 2
magic 2
making 1
manages 1
many 1
marion 3
mass 1
master 1
matter 3
matters 1
maximumsecurity 1
mayor 3
meant 1
mechanisms 1
medical 3
medunit 3
meet 1
member 1
members 3
menaced 1
messages 1
messenger 1
microorganisms 1
might 1
migration 2
miles 1
militia 2
million 1
minutes 1
miranda 17
miri 3
mob 1
modern 1
molecular 1
monitors 1
month 1
more 2
morning 1
most 1
mother 2
mountain 1
mountains 2
mouth 1
moved 1
movement 1
moving 1
multiple 1
myself 1
name 1
named 1
nanobiotic 1
nanoengineered 1
nanomachine 1
nanotubules 1
narration 1
nation 2
nearby 1
nearest 1
need 3
negotiates 1
network 1
neutralize 1
new 3
next 1
nitrogenfixing 1
no 2
none 1
not 5
nothing 1
novel 1
now 6
nowseized 1
nutrients 1
oak 1
obviously 1
odds 1
of 38
off 2
officials 1
old 1
oleanta 5
on 13
once 1
one 3
only 7
open 1
opening 1
opens 1
oppressorsmdashin 1
or 1
order 3
organic 1
organizes 1
other 1
out 1
outpost 1
outweighs 1
over 4
overcome 1
parents 1
part 1
partner 1
passed 1
past 1
people 2
perform 1
period 2
permit 1
personally 1
photosynthesis 1
place 1
places 1
plan 3
plane 1
possible 1
practically 1
president 1
prevent 2
prison 3
prisoner 2
product 1
products 1
projected 1
promotes 1
proposes 1
proposition 1
prosperity 1
protects 1
provides 1
pseudovirus 1
put 1
questions 1
quite 1
rabid 1
raccoons 4
realize 1
rebellion 1
receive 1
recovers 1
red 2
regarding 1
release 1
released 4
remnants 1
remodels 1
rendered 1
repairs 1
reprisal 1
request 1
research 1
resistance 1
resorts 1
returning 1
returns 2
reunites 1
reveals 1
revolution 1
ribbon 2
right 1
risktaking 1
row 1
saved 2
sawicki 3
science 2
seattle 1
see 4
seeded 1
seen 1
seize 1
sentence 1
serve 1
service 1
set 1
several 1
sharifi 6
she 11
shortly 1
shortsightedness 1
should 1
show 1
showdown 1
sickened 1
sickness 1
side 1
simply 1
simultaneously 1
since 1
skin 1
slain 1
small 1
smoothly 1
snatch 1
snowy 1
so 1
societal 1
software 1
sojourns 1
some 3
something 2
source 1
speak 1
specific 1
specifically 1
spoken 1
spry 1
stance 1
starts 1
starvation 1
state 1
statement 1
states 1
statistical 1
stays 1
still 1
stolen 1
stomps 1
stop 1
stopped 1
struck 1
stupidity 1
subliminal 1
submitted 1
successful 1
such 1
suffering 1
suffers 1
sufficiently 1
suggest 1
sunlight 1
superior 1
supers 5
supersleepless 2
supposedly 1
sure 1
surveillance 1
survive 1
syndrome 1
syringe 2
syringes 1
tail 1
take 2
taken 2
takes 1
technological 1
technology 2
tendencies 1
terminal 1
that 22
the 124
their 3
them 4
themselves 1
then 1
thereafter 1
they 5
thing 1
things 1
thirteenyearold 1
thirty 1
this 5
those 1
though 5
thoughts 1
through 1
throughout 1
throw 1
time 4
timedelay 1
tm 1
to 67
told 1
too 4
totally 1
town 1
tract 1
tragedy 1
transition 1
transitioning 1
travel 1
traveling 1
tries 1
trouble 1
truly 2
tuned 1
turner 3
two 2
under 2
underground 3
unfortunately 1
unfounded 1
uninvolved 1
united 1
up 2
upcountry 1
use 1
used 1
uses 1
using 1
verdes 3
via 1
vicki 8
victoria 1
violence 1
virginia 1
visit 2
wanted 1
wants 1
warehouse 2
warrior 2
was 2
washington 2
way 2
weeks 1
well 1
west 1
what 1
when 5
where 2
whether 1
which 6
while 4
who 8
whom 2
whose 1
why 2
will 8
with 17
within 2
woman 2
words 1
working 1
worried 1
would 1
years 1
york 2
you 3
young 1
yshield 1
