9349411
/m/0285hpv
/m/0285hpv
Michael Dibdin
1988-04-05
{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 5
aldo 1
and 7
applied 1
at 1
aurelio 1
been 3
before 2
being 1
benefactor 1
borderline 1
business 1
called 1
case 2
commissioner 1
contends 1
control 1
counting 1
crossed 1
depths 1
desk 1
distinctly 1
ears 1
empire 1
employing 1
establishment 1
exiled 1
fallout 1
families 1
family 1
favours 1
from 3
get 1
girlfriend 1
has 2
have 2
he 4
head 1
him 1
his 1
in 3
into 1
involving 1
is 5
italy 2
job 1
kidnapping 2
local 1
lost 1
major 2
methods 1
missing 1
moro 1
most 1
mother 1
mundane 1
murder 1
of 7
one 2
over 1
paperclips 1
parties 1
permissible 1
perugia 1
police 1
political 3
politics 1
power 1
powerful 1
pressure 2
race 1
relationships 1
removed 1
results 1
rome 1
skirting 1
some 1
stake 1
swords 1
take 1
the 8
through 2
to 5
transferred 1
troubled 1
unbeknownst 1
unexpectedly 1
unorthodox 1
which 1
while 1
whispered 1
with 4
words 1
zen 2
