2306716
/m/072l3n
/m/072l3n
David Michaels
2005-11-01
a 16
abandons 1
after 1
ago 1
all 2
almost 1
ambitions 1
america 1
an 3
and 10
another 1
are 2
arms 1
as 1
assassinate 1
attack 1
attempting 1
aware 1
backup 1
balance 1
begin 1
best 1
bomb 1
book 1
bring 1
by 3
california 1
carry 1
cells 1
china 1
chinese 1
coast 1
collect 1
conquer 1
conspirators 1
continuing 1
could 1
crisis 1
dead 1
deadly 1
dealing 1
defected 1
despite 1
destroying 1
detonate 1
developed 1
does 1
down 1
dragons 2
east 1
echelon 3
efforts 1
element 1
even 1
failure 1
fends 1
first 3
fisher 5
foil 1
for 1
forces 1
from 3
gain 1
general 3
german 1
germany 1
goes 1
government 1
group 1
gunned 1
had 4
has 1
he 2
heads 1
him 1
hired 1
his 2
hong 2
hope 1
hours 1
how 1
however 1
identity 1
in 5
including 1
information 1
inside 1
instructor 1
international 2
into 1
invade 1
invaded 1
invading 1
investigation 1
involved 1
involvement 1
involving 1
is 9
it 2
its 1
jeinsen 3
job 1
justice 1
katia 2
killed 2
kong 2
krav 1
la 1
lan 1
large 1
larger 1
learn 1
local 1
loenstern 1
long 1
lucky 2
mafiya 1
maga 1
managed 1
manages 1
massive 1
matter 1
members 1
military 1
missing 1
mruuv 1
much 1
murder 1
named 3
navy 2
new 2
not 2
novel 2
nuclear 2
number 1
of 8
off 2
on 2
only 1
own 1
part 2
picks 1
picture 1
place 1
played 1
plot 3
previously 1
realize 1
reappears 1
relationship 1
ring 1
rogue 1
romantic 1
russia 1
russian 1
sam 5
scientist 2
search 1
sent 1
shop 6
sniper 1
splinter 1
states 3
stopping 1
submarine 2
suspected 1
taiwan 3
taiwanese 1
taking 1
that 5
the 28
their 1
them 1
then 1
theoretically 1
third 3
threatens 1
to 13
traitor 2
triads 1
tsunami 1
tun 2
turn 1
ukraine 1
ultimately 1
united 3
unless 1
up 1
use 1
vehicle 2
very 1
viciously 1
was 1
weapon 1
what 1
when 2
while 1
who 2
why 1
with 6
working 1
world 1
year 1
yet 1
