33345519
/m/0h7mkpt
/m/0h7mkpt
Todd McCaffrey
2010-07
{"/m/06n90": "Science Fiction"}
300 1
a 4
about 1
adult 2
again 1
all 1
almost 1
among 1
an 1
and 11
are 2
as 2
been 1
but 1
casualties 1
centrally 1
come 1
crisis 1
current 1
decimated 1
disasternbsp 1
dragongirl 1
dragonheart 1
dragonpower 1
dragonriders 3
dragons 5
during 1
early 1
end 1
enough 1
entire 2
episode 1
essentially 1
even 1
experience 1
fiona 4
following 1
follows 1
for 2
force 1
from 1
further 1
gained 1
group 2
had 4
handle 1
has 1
her 1
in 3
is 4
its 1
large 1
lead 1
leaves 1
led 1
limited 1
located 1
long 1
longer 2
loss 1
lost 1
love 1
loyalty 1
man 1
many 1
mature 2
men 1
nearly 1
no 3
novel 1
now 1
numbers 1
of 10
only 1
or 2
others 1
overstretched 1
pairs 1
pass 1
past 3
pernese 1
plague 1
planet 1
population 1
primary 1
protect 1
proven 1
purpose 1
realize 1
recent 1
relative 1
remaining 1
retired 1
return 1
safety 1
she 3
sick 1
simply 1
so 1
some 1
sudden 1
support 1
survive 1
telgar 3
that 5
the 21
there 1
they 1
time 2
to 8
transferred 1
travel 1
traveled 1
travelers 1
until 1
upon 1
very 1
weyr 2
weyrwoman 4
who 1
whole 1
with 3
worked 1
young 4
