17306745
/m/043s4pm
/m/043s4pm
A. Merritt
1932
a 3
alaska 1
american 1
an 1
ancient 1
and 4
another 1
as 1
branch 1
concerns 1
dead 1
destroys 1
dimension 1
discovers 1
dwayanu 3
eventually 1
evil 1
fights 1
from 1
hero 1
human 1
in 1
inhabit 1
inhabitants 1
khalkru 1
kraken 2
langdon 4
lief 1
little 2
long 1
mongolian 1
named 1
novel 1
of 3
off 1
offer 1
people 2
possesses 1
presence 1
race 1
races 1
recognize 1
reincarnation 1
sacrifice 1
spirit 1
starts 1
summon 1
the 9
their 1
they 2
to 1
two 1
valley 2
war 1
warm 1
which 1
who 1
with 1
worship 1
