2883699
/m/088_kv
/m/088_kv
John Banville
2005
a 22
about 1
acquaint 1
act 1
actual 2
adult 2
affair 1
after 4
allegory 1
also 1
always 1
an 4
and 23
anna 8
another 1
are 6
area 1
army 1
around 1
arrival 1
art 1
as 10
assume 1
assuming 1
assumingly 1
at 6
attempting 1
available 1
awe 1
awkward 2
background 1
ballylessmdashwhere 1
be 2
beach 1
becomes 1
been 1
beginning 1
being 2
between 1
blunt 1
book 2
brief 1
brother 2
bullied 1
by 4
cared 1
carlos 1
catches 1
cedars 5
cedarsmdashduring 1
ceders 1
character 2
child 1
childhood 4
chloe 7
choice 1
cinema 1
claire 2
climaxes 1
climbs 1
closely 1
closer 1
colonel 4
come 1
comforting 1
commentaries 1
commentary 1
confirmed 1
confirming 1
connie 3
conscious 1
constant 1
conversation 1
cottage 3
crashing 1
crush 1
crying 1
curiosity 1
current 1
daughter 4
day 3
days 2
death 6
deaths 1
demeanor 1
denouement 1
dependent 1
described 1
describes 1
despite 2
details 1
diced 1
does 3
done 1
drowning 1
drunken 1
duration 1
during 3
dying 1
earlier 1
effort 1
emerges 1
encounters 1
ending 1
enough 1
entertained 1
entire 1
entwines 1
episode 1
even 1
events 1
everything 1
exact 1
explicitly 1
family 1
far 1
father 1
feel 1
feels 1
final 3
finally 1
finds 1
finishes 1
first 1
flagrantly 1
fluctuations 1
flux 1
for 3
from 3
fruitless 1
full 1
game 1
get 1
girl 1
glance 1
grace 6
graces 1
gracesmdasha 1
gradually 1
ground 1
had 1
half 1
has 1
have 2
having 1
he 8
heavily 1
hence 1
her 6
herself 1
hideandseek 1
him 6
himself 3
hinted 1
his 12
historian 1
holidays 1
home 5
hospital 1
house 1
housemaid 1
how 1
however 1
hypersexuality 2
illicit 1
important 1
impromptly 1
in 15
inebriated 1
infatuated 1
infatuation 1
inside 1
invitation 1
invited 1
is 12
it 2
iteration 1
itself 1
journal 1
jumbled 1
key 1
killed 1
kissing 1
knocked 1
know 1
later 1
latter 1
launches 1
leading 1
learn 4
leave 1
life 1
like 1
living 1
look 1
lounging 1
love 2
loved 1
made 1
max 29
mean 1
memories 7
memory 1
middleclass 1
miss 4
moment 1
moments 2
months 1
morden 1
more 1
most 1
mother 1
motivation 1
mr 2
mrs 3
mute 1
myles 6
names 1
neardeath 1
nearly 1
never 1
not 4
novel 6
nursemaid 1
of 26
offers 1
often 1
omitted 1
on 4
one 1
or 3
other 1
otherwise 1
overhearing 1
overhears 1
own 2
part 1
pelvic 1
periods 1
personality 1
physically 1
picnicmdashfor 1
play 1
point 1
possibly 1
present 2
prior 1
pulled 1
quite 1
rather 2
reasons 1
reconcile 1
recounts 1
redaction 2
reflective 1
relation 1
relationship 1
remembers 1
rented 1
residence 1
retired 2
retreated 1
return 1
returns 1
revealed 1
revolve 1
rock 1
role 1
room 1
rose 8
roughhousing 1
save 1
scenes 1
scolds 1
sea 2
second 1
seeing 1
seen 1
selfaware 1
setting 3
settings 3
she 1
shown 1
sight 1
since 1
single 1
slight 1
snuggled 1
soon 3
soontobedead 1
spastic 1
specific 1
spots 1
standing 1
statedmdashwhere 1
stay 2
stays 1
stipulates 1
story 1
stumble 1
succeeds 1
summer 3
suspects 1
tease 1
tells 2
tenant 1
than 1
that 5
the 52
their 1
theme 1
these 2
this 3
those 1
three 2
through 1
ties 1
time 1
timid 1
to 22
together 2
told 2
too 1
topic 1
tree 1
tumultuous 1
twins 1
unconscious 1
underlying 1
unkempt 1
unorganised 1
unreliable 1
up 1
upon 2
vavasour 4
visit 1
volatile 1
was 3
waves 1
we 5
wealthy 1
were 1
what 4
when 1
which 1
while 2
who 2
wholly 1
whom 2
wife 2
wild 1
will 1
with 15
words 1
would 1
write 1
written 2
yard 1
young 1
