180147
/m/018l57
/m/018l57
Philip Kerr
1992
{"/m/01jfsb": "Thriller", "/m/017rf8": "Techno-thriller", "/m/014dfn": "Speculative fiction"}
1 1
100000 1
a 19
abnormality 1
accurate 1
act 1
actions 1
ad 1
after 1
agrees 1
all 3
allowed 1
amenable 1
an 3
and 11
any 1
approximately 1
are 6
arent 1
argue 1
as 7
assassinations 1
assigned 2
aware 1
be 2
book 1
brain 2
britain 2
british 1
burgess 1
but 1
by 1
called 1
cambridge 2
campaigns 1
care 1
catch 1
certain 1
code 2
coma 5
comas 1
comes 1
committing 1
confidential 1
confirm 1
considered 1
continue 1
costs 1
counselling 1
crimes 1
criminal 1
criminals 1
dangerous 1
death 1
debate 1
defeated 1
deficiency 1
detective 1
developed 1
device 1
diagnose 1
diary 1
discovered 1
discovering 1
dismay 1
don 1
downfall 1
drugs 1
dual 1
eg 1
elected 1
engage 1
entertainment 1
enticed 1
environment 1
etc 1
exceptionally 1
extent 1
extreme 1
favour 1
female 1
first 1
following 1
for 2
from 3
furthermore 1
given 2
giving 1
gla 1
government 2
great 1
guarding 1
guilty 1
hacking 1
harmlessly 1
has 2
have 1
he 4
help 1
him 1
his 8
hoped 1
however 3
humane 1
if 1
imaging 1
in 13
incarceration 1
including 2
indicator 1
inhumane 2
inmates 1
innocent 1
institute 2
institutes 1
interesting 1
interests 1
into 2
investigation 1
involve 1
involves 1
is 15
isadora 1
it 3
its 1
itself 1
jake 3
jakowicz 1
justice 1
kill 1
killer 1
killings 1
kind 1
later 1
lens 1
less 2
lesser 1
lieutenant 1
life 1
list 1
lives 1
living 1
localisation 1
logicophilosophicus 1
lombroso 4
longterm 2
made 1
males 1
may 1
medicallyinduced 1
men 5
midcareer 1
modullar 1
morality 1
more 2
much 2
name 2
named 1
names 1
narrative 2
national 1
nearfuture 1
necessarily 1
neuroscientist 1
no 1
not 3
novel 1
now 1
obliging 1
observe 1
obtaining 1
of 22
on 2
one 1
opponents 1
opportunity 1
or 1
orthopraxy 1
out 1
own 1
particular 1
partly 1
pathology 1
penalty 1
penguin 1
people 1
person 2
perspective 2
persuasion 1
phelan 2
philosopher 1
philosophical 2
philosophy 2
platform 1
plato 1
plunged 1
police 2
portion 4
position 2
presses 1
prison 2
process 1
professor 3
proponents 1
prove 1
public 2
punishment 2
punitive 5
rather 3
real 1
reality 1
rehabilitate 1
rehabilitative 1
replaced 1
require 1
resonations 1
restraint 1
retributive 1
reversal 1
reversed 1
safely 1
safety 1
same 2
see 1
sentenced 1
service 1
set 1
setting 1
shakespeare 1
should 1
since 2
size 2
sleep 1
so 2
social 1
sociopathic 1
sociopathy 1
solitary 1
someone 1
space 1
state 1
status 1
stealing 1
subject 1
submit 1
subsequent 1
suicide 1
system 1
systems 2
talk 1
tendencies 1
test 1
testing 1
than 3
that 5
the 37
them 1
themselves 1
they 1
thinkers 1
thirdperson 1
this 1
those 1
though 1
through 2
thus 1
to 15
told 2
tractatus 1
traditional 1
travel 1
treatment 1
twice 1
typically 1
undertakes 2
unfolds 1
until 1
up 1
upon 1
use 1
used 1
venting 1
violent 1
virtual 1
vmn 2
vmnnegative 5
was 3
well 1
welladjusted 1
whether 1
which 1
who 3
whole 1
whom 1
will 2
with 3
wittgenstein 7
woman 1
women 1
years 2
