17135880
/m/043q6ww
/m/043q6ww
Stephen R. Donaldson
2010-10-19
{"/m/01hmnh": "Fantasy"}
a 21
able 10
abode 1
abruptly 1
abuse 1
accepts 1
accomplishes 1
acquired 1
act 2
actions 1
actually 1
after 4
aftermath 1
afterward 1
again 1
against 3
agrees 1
aid 2
all 1
alliance 1
allied 1
allies 1
allowing 1
allows 2
also 3
alteration 1
ambitious 1
among 2
amputate 1
an 7
ancient 4
and 80
andelain 2
anele 6
announce 1
another 1
anundivian 1
any 1
apparently 1
appears 2
approach 1
arch 2
ardent 8
are 11
army 1
arrive 1
arrives 3
as 15
asks 1
assail 1
assailing 1
assist 3
assistance 2
assurances 1
at 11
attack 2
attacked 2
attacking 3
attacks 2
attempt 4
attempted 1
attempts 1
avatar 1
avery 2
awakened 1
awakens 1
awareness 1
away 2
back 1
badly 1
bait 1
bane 4
banished 1
bargain 3
battle 4
battling 1
bay 1
be 8
bear 1
become 2
becomes 2
been 1
before 3
begin 1
begins 3
begs 1
being 2
believe 1
believes 1
belonged 1
beneath 1
best 1
betray 2
betrayed 1
beyond 1
binds 1
bitter 1
black 1
bones 3
borrow 1
both 3
boy 1
branl 1
bridge 1
bring 3
brought 1
building 2
burned 1
but 3
by 27
caerroil 1
caesure 3
caesures 4
cairn 1
called 2
calls 1
can 4
cannot 2
capture 3
car 1
catatonic 2
caused 1
cavewights 2
chaos 1
charged 1
claim 1
claims 1
climb 1
clyme 1
coldspray 1
combine 1
common 1
communicate 1
companions 4
company 2
compel 1
complete 1
completed 1
conceal 1
conceivable 1
conflict 1
confront 3
confronting 1
confronts 1
constrain 1
construct 7
constructs 1
consumed 1
controlled 1
convince 2
convinces 1
cords 1
cornered 1
countless 1
covenant 24
craft 1
create 1
created 1
creator 1
creatures 1
creche 1
croyel 11
dawn 1
deal 1
death 3
deep 5
deeper 1
deeply 1
delaying 1
delenoth 1
demands 1
demondimspawn 1
denied 1
depart 1
describes 1
designed 1
despair 1
desperation 1
despiser 2
destroys 1
devastated 1
diassomer 1
die 1
diminutive 1
dirt 2
discovers 2
distract 1
distraction 1
do 2
does 3
dogged 1
domain 1
doom 1
draws 1
drinks 1
drive 1
due 4
during 3
earth 2
earthblood 2
earthpower 3
earthsight 1
effort 1
efforts 1
elena 2
elohim 9
embrace 1
enchantment 1
encounter 1
end 1
ending 1
endurance 1
enemy 1
enraptured 1
ensnared 1
ensure 3
enter 1
entering 1
enthralled 1
entire 1
eradicated 1
escape 2
esmer 12
estranged 1
evade 1
even 1
evil 1
exalted 1
exchange 1
exerts 1
existence 1
exposed 1
extinct 1
exwife 1
face 1
failed 4
fails 2
failure 1
fall 3
falls 1
falsely 1
family 1
far 1
father 1
feroce 3
few 1
fight 2
final 2
finally 3
find 2
fingertips 1
first 1
flames 1
flee 1
fleeing 1
flees 1
foe 1
follow 3
for 13
force 1
forced 1
forces 2
forfeit 1
forged 1
former 1
formerly 1
foul 5
fractured 1
free 3
freed 1
freeing 2
from 16
gained 1
galt 3
giants 2
gift 1
gifted 1
gildenbourne 1
give 1
goals 1
gold 3
great 1
greatest 1
group 6
grows 1
had 4
halfharuchai 1
hand 1
hands 3
harm 1
harrow 13
haruchai 1
has 5
have 1
hazard 1
he 18
heal 1
heart 3
heavily 1
held 1
help 2
her 22
herem 1
heritage 1
herself 2
hides 1
high 1
him 11
himself 3
hinted 2
hints 1
his 26
history 2
holding 1
hollian 1
hope 2
horses 2
however 7
humbled 6
immediately 2
in 18
incarnate 1
including 1
inconsolable 1
indicating 1
infelice 5
infuriated 1
initial 1
innate 2
insequent 4
insight 2
insists 1
instant 1
instead 1
intends 1
intervenes 1
intimately 1
into 3
ironhand 1
is 32
isolated 1
it 13
its 2
jeremiah 18
joan 11
journey 1
kastenessen 4
kevin 1
kill 1
kills 3
kindred 1
know 1
krill 9
land 6
landsdrop 1
last 5
later 4
law 2
lay 1
lead 1
leave 3
leaves 2
less 1
liand 4
life 2
linden 34
location 1
locked 1
long 1
longer 1
lord 3
loremaster 1
loric 3
loss 1
lost 7
love 2
lover 2
loyalty 1
lurker 2
mad 2
madden 1
magic 3
magics 1
mahdoubt 1
manacles 1
march 1
masters 2
meaning 1
means 2
meantime 1
meanwhile 1
members 1
memories 2
menace 1
mental 1
mercy 1
might 2
mind 2
mininderain 1
monster 1
monsters 1
more 3
morning 1
mother 1
motivated 1
mounts 1
moves 1
muirwin 1
murders 1
must 8
name 1
named 6
narrow 1
near 1
nearly 2
newly 1
next 1
no 2
not 10
now 1
of 58
offers 2
offices 1
offshoots 1
often 1
old 1
on 5
one 7
only 1
onto 1
open 1
opportunity 1
oppose 1
orcrest 2
other 1
out 2
overwhelmed 1
own 1
pahni 1
parents 1
party 7
past 2
payment 1
per 1
peril 1
permanently 1
permit 1
personal 1
place 1
plight 1
plot 1
ploy 1
point 1
portal 1
possess 1
possessed 2
power 3
powerful 1
powers 1
presumably 1
prevents 1
previously 2
prison 2
private 1
produced 1
promise 1
promises 1
promptly 2
prophecy 1
prophesies 1
protect 3
protection 2
provides 1
purpose 3
pursued 1
quarry 1
quellvisk 1
quellvisks 2
quenches 1
race 5
ranyhyn 6
raver 2
reach 1
reaches 1
ready 1
realised 1
realises 1
reason 1
rebukes 1
recalled 1
recuperate 1
references 1
refocuses 1
refuses 3
regaining 1
release 2
rely 1
remaining 2
remains 1
rent 1
repaired 1
representative 1
repudiation 1
required 1
requires 1
rescue 1
resist 1
resolves 1
rest 1
restored 1
restraining 1
result 1
resurrection 1
retrieve 1
returns 1
reveal 2
revealed 2
revelstone 1
ridden 1
ride 1
ring 4
rocky 1
roger 8
rouse 1
routs 1
ruin 1
ruins 1
rule 1
runes 1
sacrifices 2
salva 1
samadhi 1
same 1
sandgorgons 2
sarangrave 1
schemes 1
seek 1
seeking 1
sees 1
service 1
shadow 1
share 1
she 16
sheol 1
shore 1
shortly 2
simultaneously 1
since 2
situation 1
six 1
skest 3
skurj 3
slain 1
slay 2
sleeping 1
slumbers 2
so 4
some 2
somehow 1
somewhat 1
son 6
soon 1
source 1
speaks 1
spirit 1
spirits 1
spurned 1
staff 6
stance 1
stars 1
state 3
stave 7
steal 1
steed 1
stone 2
stonedownor 1
stop 1
stopping 1
strength 1
stripping 1
struggle 1
succeeds 1
summon 3
summoned 1
summoning 1
sun 1
sunder 1
surjheherrin 1
surprises 1
surrenders 1
surrounding 1
survive 1
sustenance 1
swordmainnir 1
tainted 1
take 2
takes 3
target 1
targets 1
tell 1
than 3
thanks 1
that 28
the 216
their 2
them 10
themselves 1
then 3
there 2
therefore 1
these 1
they 11
this 9
thomas 4
though 5
threat 1
through 6
throughout 1
throw 1
tidal 1
time 4
timewarden 1
to 96
told 1
tongues 1
tormented 2
touches 1
towards 2
toy 1
transfer 1
transport 3
transports 3
traumatized 1
travels 1
tries 2
true 1
trusting 1
turiya 1
two 2
ultimately 3
unable 2
universes 1
unprompted 1
unweave 1
upon 2
upper 1
urvile 1
urviles 4
use 4
uses 2
using 3
utterly 1
vanishes 1
vast 1
view 1
vile 1
viles 4
wants 1
warns 1
warped 1
was 5
waste 1
watches 1
wave 1
way 1
waynhim 3
weapon 1
weapons 1
wedding 1
well 1
were 2
what 2
when 6
where 1
which 13
while 1
white 3
who 16
whose 2
wields 1
wife 2
wild 3
wildwood 1
will 6
wink 1
wise 1
with 25
without 2
witnessing 1
women 1
wonders 1
world 1
worm 7
worsen 1
worship 1
would 2
yajna 1
yearning 1
yet 1
