3775689
/m/09_ch2
/m/09_ch2
Bruce Coville
1998
a 2
able 2
after 3
ahrit 2
aliens 1
all 2
allies 1
along 2
already 1
also 2
an 2
and 23
are 5
arly 1
arriving 1
as 4
attempt 1
await 1
back 1
bait 2
be 1
before 1
begins 1
bkr 11
body 3
both 1
brain 1
break 1
bung 1
business 1
by 3
can 1
captives 1
capture 2
captured 2
characters 1
concludes 1
contact 1
crew 3
deception 1
defeat 1
deliver 1
delivers 1
depart 1
departure 1
did 1
die 1
diplomatic 1
discovered 1
earth 3
elspeth 1
empty 1
encounter 1
enemies 2
entire 2
family 4
ferkel 4
few 1
final 1
finally 1
following 2
for 3
fourbook 1
friends 1
from 5
future 1
gains 1
galactic 1
gang 3
gibbons 3
going 1
goodbye 1
gp 1
grakker 2
group 3
groups 1
grumbo 2
has 1
he 2
head 1
headquarters 2
heads 1
henchmen 1
hidden 1
him 2
himself 1
his 11
in 4
including 1
instead 1
intends 1
intergalactic 1
into 1
is 3
it 1
its 2
joined 1
khan 2
kryndamar 2
later 1
law 1
learn 1
learned 1
leave 2
locating 1
locked 1
madam 1
meanwhile 1
merkel 1
mind 2
mirvan 2
mom 1
more 1
must 1
my 1
new 1
of 6
off 1
officer 2
on 2
one 2
or 1
orders 1
out 1
own 1
partner 1
patrol 1
pet 1
phil 2
place 1
planet 1
plans 1
plant 1
pong 1
reclaim 1
reestablish 1
renegade 1
return 1
returned 1
reveal 1
rod 12
sans 1
science 1
search 1
selima 2
send 1
sentient 1
series 1
serve 1
serves 1
seymour 1
shortly 1
siblings 1
since 1
skills 1
snout 5
so 1
solar 1
space 1
splits 1
stand 2
still 1
stole 1
system 1
take 1
taken 1
tar 3
teacher 1
tells 1
that 2
the 22
their 2
there 1
they 5
theyve 1
though 1
three 1
to 14
trader 1
training 1
traitorous 1
trial 3
twin 1
ultimatum 1
up 2
use 1
using 1
watches 1
were 1
where 1
while 1
who 2
will 1
with 6
younger 1
