28341381
/m/0cp0n9v
/m/0cp0n9v
John Marsden

{"/m/014dfn": "Speculative fiction", "/m/03mfnf": "Young adult literature", "/m/08sdrw": "Adventure novel"}
a 8
abandoned 1
about 1
absent 1
action 1
acts 1
ago 1
agrees 1
allow 1
although 1
ambush 4
an 5
and 22
another 1
any 1
are 3
army 1
arrange 1
arrived 1
arrives 1
as 2
at 1
attack 4
attacks 2
attempt 1
australians 1
away 1
back 1
bay 1
be 2
beaten 1
before 1
begins 1
behind 2
blow 1
bomb 1
book 1
brags 1
bring 1
bush 1
but 3
by 3
called 1
cannot 1
car 1
charge 1
chased 1
chris 4
church 1
close 1
cobbler 1
colonists 1
comatose 1
consummate 1
continue 1
continues 1
convoys 1
corrie 3
course 1
dam 1
day 1
dead 1
decide 1
decides 1
decision 1
depressed 1
destroy 1
deteriorates 1
determine 1
died 1
directly 1
discover 3
discovery 2
down 1
during 1
early 1
either 1
ellie 3
ends 1
enemy 5
evacuation 1
exploration 1
faring 1
fi 2
final 1
find 2
first 1
flee 1
flees 1
for 1
former 1
free 1
fresh 1
friends 1
from 4
frost 1
further 1
go 1
going 1
group 10
had 2
happened 1
harvey 5
have 1
having 1
he 4
head 1
hell 5
here 1
heroes 2
highway 2
him 1
homer 3
hospital 1
house 1
houses 1
how 1
however 1
in 6
incapacitate 1
injures 1
instead 1
into 5
investigate 2
investigation 1
invited 1
is 7
it 1
keep 1
kevin 3
kill 1
kills 2
knowing 1
lead 1
leads 1
leaving 1
led 2
lee 2
like 1
losing 1
low 1
lowrisk 1
made 1
major 2
make 1
makes 1
man 1
morale 2
move 1
music 1
near 1
next 1
not 2
now 1
of 10
on 5
one 1
other 1
out 1
over 1
overturned 2
pack 1
panics 1
paths 1
patrol 1
portion 1
prepares 1
preparing 1
presumed 1
principle 1
quarters 1
rape 1
reeling 1
refuge 1
refuses 1
relationship 1
release 1
reservist 1
return 3
revealed 1
reveals 1
rifle 1
robyn 1
sawnoff 1
scene 1
school 1
see 1
several 2
shock 1
shotgun 1
should 1
situation 1
small 1
smoke 1
soldier 5
some 1
spectate 1
stabs 1
stay 1
story 1
succeeds 1
successful 1
suggests 1
surprised 1
take 1
takes 1
tank 1
teacher 1
teenager 1
territory 1
that 6
the 37
their 7
them 2
themselves 2
then 1
these 1
they 12
third 2
this 1
time 1
to 25
track 1
up 1
vehicle 1
wake 1
was 1
watch 1
way 1
weeks 1
what 1
when 3
where 4
while 1
wirrawee 1
with 5
working 1
wounded 1
