3699793
/m/09w2l7
/m/09w2l7
Truman Capote
1951
{"/m/05hgj": "Novel"}
a 8
after 2
again 1
agrees 1
along 1
also 1
among 1
an 2
and 13
are 1
argument 1
arrests 1
as 2
aunts 1
begins 1
by 1
camp 1
catherine 4
chinaberry 2
climactic 1
collin 3
come 1
confrontation 1
cool 2
course 1
day 1
decide 1
disappearance 1
discusses 1
dolly 6
during 1
ends 1
event 1
eventually 1
everyone 1
famous 1
father 1
fenwick 1
for 2
friends 1
gathering 1
gets 1
getting 1
go 1
going 1
got 1
grass 1
harp 2
has 1
henderson 1
her 2
his 3
home 1
house 3
how 1
in 6
informs 1
into 2
invigorated 1
is 2
it 1
judge 2
leads 1
leave 2
live 1
lives 1
losing 1
makes 1
many 1
mass 1
meanwhile 1
medicine 2
most 1
mother 1
moving 1
novel 1
of 4
old 2
once 1
one 1
only 1
organizes 1
others 1
out 2
part 1
party 2
people 1
picking 1
plants 1
pointless 1
produce 1
propped 1
randomly 1
relationships 1
remembering 1
residents 1
riley 2
search 2
servant 1
she 1
sheriff 2
shot 1
shoulder 1
sister 1
situation 1
start 1
story 3
struggle 1
such 1
telling 1
that 1
the 18
their 1
then 2
there 1
they 2
to 6
tree 3
treehouse 3
up 1
verena 4
voices 1
walking 1
wants 1
was 1
which 2
with 5
woods 1
