12932456
/m/02z0dp1
/m/02z0dp1
Raymond Briggs
2001-09-06
{"/m/0dwly": "Children's literature"}
a 3
about 1
after 1
age 1
all 1
and 4
are 1
as 1
be 2
believes 1
book 1
boy 1
but 1
by 1
call 1
cannot 1
cave 1
cavemen 1
day 1
do 1
dug 1
dugs 1
end 1
father 1
good 1
granite 1
grows 1
have 1
he 3
him 1
his 2
in 2
is 2
it 1
leave 1
living 1
made 1
make 1
mammoth 1
mother 1
much 1
named 1
of 1
other 1
others 1
painter 1
realising 1
sew 1
skin 1
soft 1
stone 1
the 6
them 2
then 1
they 2
think 1
thought 1
to 4
together 1
too 1
trousers 3
ug 2
up 1
use 1
wants 1
warned 1
wear 1
who 1
would 1
