31230954
/m/0gvtfnr
/m/0gvtfnr


{"/m/01z02hx": "Sports"}
2001 1
276 1
a 4
all 1
also 1
although 1
and 5
any 1
as 2
aspects 1
at 5
background 1
basket 1
best 2
between 1
big 1
bird 1
book 3
both 1
but 1
by 4
championship 3
close 1
coaches 1
commentary 1
country 1
coverage 1
dame 4
decided 1
devastating 1
each 1
east 1
eight 1
entire 1
featured 1
final 1
finally 1
first 1
for 1
from 1
game 8
games 2
going 1
had 1
important 1
in 9
information 1
injury 1
intersperses 1
is 1
january 1
last 1
lead 1
linesa 1
main 1
march 1
meet 1
meeting 1
meetings 1
moments 1
more 1
moved 1
multiple 1
national 1
ncaa 1
neither 2
next 1
nor 1
notre 4
number 2
of 10
on 3
one 4
other 1
play 2
played 1
players 3
points 1
poll 1
prevailing 1
programs 1
ranked 1
ranking 1
remained 1
scored 1
season 2
semifinals 1
single 1
sport 1
stake 1
start 1
story 1
subject 1
sue 1
team 3
teams 3
than 1
that 2
the 31
then 1
third 1
time 1
to 3
tournament 3
two 3
uconn 2
undefeated 2
was 3
well 1
were 1
which 1
win 1
with 2
won 1
would 1
year 1
