11769445
/m/02rrmyn
/m/02rrmyn
Jim Thompson

117 1
1280 3
47th 1
a 9
affairs 1
against 1
and 6
appear 1
are 1
as 1
be 1
brotherinlaw 1
by 2
campaign 1
candidate 1
chapters 1
comic 1
corey 2
county 2
crime 1
criminals 1
cunning 1
dates 1
depths 1
difficult 1
early 1
election 1
emergence 1
end 1
evasion 1
exertion 1
far 1
farce 1
farcical 1
fault 1
fiction 1
firstperson 1
fool 2
from 1
genial 1
given 1
hardboiled 1
harmless 2
has 1
having 1
he 3
himself 2
his 1
idiot 1
in 6
is 3
jim 1
largest 1
lawman 1
listless 1
lives 1
man 1
managing 1
more 2
much 1
narrative 3
negotiations 1
nick 4
novels 1
number 1
of 9
outset 1
overaccommodating 1
particular 1
physical 1
plumbs 1
pop 2
population 1
potts 1
pottsville 3
presents 2
probably 1
problems 1
psychological 1
psychotic 1
rather 1
reduced 1
related 1
representative 1
revolution 1
russian 1
ruthless 1
sheriff 3
shrew 1
simplistic 1
simultaneously 1
sole 1
souls 1
state 1
story 1
style 1
suggests 1
tale 1
texas 1
than 2
that 2
the 12
thompson 1
those 1
throughout 1
to 4
tone 1
town 1
undermined 1
undesirables 1
which 1
while 1
wife 1
with 1
work 1
worthy 1
