23386706
/m/06w9sjz
/m/06w9sjz
Stephen Hunt
2007
a 5
about 1
accompanied 1
across 1
agent 1
ago 1
aided 1
air 1
also 1
an 2
ancient 1
and 6
apprenticed 1
are 2
at 1
attack 1
back 1
backwater 1
battling 1
been 2
blighted 1
brooks 1
brothel 1
brutal 1
but 3
butchered 1
by 3
carries 1
chased 1
civilization 1
company 1
country 1
court 1
dawns 1
destruction 1
enemies 2
existence 1
fellow 1
find 1
finds 2
first 1
flee 1
for 4
forced 1
framed 1
friends 1
girl 1
gradually 1
grave 1
grew 1
has 3
have 1
he 2
her 4
himself 1
his 4
home 1
in 2
indomitable 1
instinct 1
is 4
it 1
learns 1
led 1
life 2
little 1
marks 1
merchant 1
millennia 1
molly 3
more 1
murder 2
myriad 1
mysterious 1
of 6
oliver 3
on 1
only 1
orphans 2
out 1
outlaws 1
poorhouse 1
power 1
quelled 1
real 1
recently 1
relative 1
run 1
ruthless 1
secret 2
she 5
sheltered 1
slowly 1
soon 1
special 1
spies 1
state 1
streetwise 1
target 1
templar 1
that 3
the 12
their 1
themselves 1
there 1
thieves 1
thought 1
threat 1
to 6
two 1
uncle 1
up 1
was 1
when 2
where 1
will 1
witnesses 1
