18590451
/m/04g2c5b
/m/04g2c5b
Václav Havel

a 7
about 1
after 1
alice 1
an 2
and 3
andrew 1
another 1
as 2
audit 1
back 2
balas 1
ballas 2
becomes 2
between 2
box 1
but 1
can 1
characters 1
chorukor 1
connexions 1
constructed 1
created 1
day 1
decided 1
deputy 1
director 1
do 1
does 1
easier 1
emotional 1
ends 1
explains 1
extreme 1
few 1
finally 2
finds 2
fired 1
for 2
fox 1
get 3
gets 1
give 1
gives 1
going 1
gradually 1
gross 7
have 1
he 2
him 1
his 2
in 5
is 2
it 2
jan 1
job 2
josef 1
language 3
last 1
learners 1
learning 2
lunch 1
make 1
maria 2
max 1
meanwhile 1
memorandum 4
most 1
mother 1
named 1
next 1
not 1
of 5
on 1
one 1
opposed 1
organization 3
out 1
over 1
permit 1
play 1
ptydepe 5
receives 1
reluctant 1
replaced 1
rid 1
secretary 1
she 2
similarities 2
so 2
someone 2
spies 1
staff 1
such 1
takes 1
that 2
the 14
to 10
translate 2
translating 1
translation 3
tries 1
unnamed 2
up 2
use 1
very 1
was 1
watcher 1
while 2
who 2
wilson 3
with 3
words 2
workers 1
written 1
yet 1
