33303850
/m/0h7lb6p
/m/0h7lb6p
Kristin Cast
2011-01-01
a 9
able 1
about 1
accept 1
accepts 1
accuses 1
after 1
against 1
age 1
aggressive 2
all 1
allied 2
allows 1
also 1
an 2
anastasia 1
ancient 1
and 34
anymore 2
aphrodite 2
apology 2
appears 1
apply 1
are 1
arguing 1
as 4
ask 1
asks 3
at 3
atone 1
attacking 1
attempt 1
back 2
battle 1
be 2
because 2
become 1
becomes 1
been 1
beginning 1
being 9
believe 1
bespelling 1
between 1
bites 1
book 2
both 1
breaks 1
breathed 1
bring 1
bull 1
but 7
by 3
calm 1
can 3
cannot 1
cared 1
cast 1
caused 1
ceremony 1
chooses 1
chosen 1
circle 1
comfort 1
completely 1
concentration 1
connected 1
connection 1
continuously 1
convince 1
convinced 1
cooperates 1
create 1
cry 1
damien 1
darius 1
darkness 5
day 1
death 3
debt 1
decide 1
deed 1
defends 1
disappears 1
do 1
doesnt 1
drag 1
dragon 7
draw 1
dream 1
due 1
during 2
elements 1
end 1
ends 2
enter 1
erebus 2
even 1
everyone 1
faces 1
failed 1
fake 1
falls 1
feather 2
feels 1
fey 2
fight 1
finally 1
finding 1
finds 2
fledglings 2
for 11
forgiveness 1
forgives 1
form 2
freedom 1
friends 3
from 3
fully 1
funeral 2
genuine 1
given 1
go 1
goes 1
good 2
got 1
grants 1
grief 1
grieve 1
had 2
has 3
hasnt 1
have 1
having 2
he 11
heath 1
heffer 1
help 1
her 16
hide 1
high 2
him 8
himself 2
his 5
home 1
house 3
how 1
human 1
immortal 1
immortality 1
implied 1
in 8
indefinitely 1
infidelity 1
intends 1
interferes 1
into 1
is 7
it 4
jack 3
kalona 5
kill 2
killing 2
kills 1
kramisha 1
lankford 1
lashes 1
laureate 1
leading 1
learns 1
leave 2
left 1
light 2
linda 1
little 1
longer 1
lost 1
lunges 1
magick 1
making 1
many 1
matter 1
meanwhile 2
mind 1
mission 1
modern 1
mother 3
move 1
neferet 9
new 2
night 4
no 1
not 2
nyx 2
oath 1
obey 1
of 12
off 1
offers 1
old 1
on 7
only 1
opportunity 1
or 1
orders 1
other 1
otherworld 2
out 4
over 2
own 1
path 1
pay 1
payment 1
people 1
poet 1
preparing 1
priestess 2
prompting 1
prophetess 1
pyre 1
queen 2
rae 5
rather 1
raven 1
real 1
realization 1
realizes 3
really 1
reason 1
reassure 1
reborn 1
recently 1
recuperates 1
red 2
redbird 1
regain 1
rejects 1
remaining 1
rephaim 9
responsibilities 1
return 1
returns 2
sacrificing 1
same 2
save 1
sees 1
senses 1
serve 1
service 1
sex 2
sgiach 1
she 9
side 1
since 1
skye 5
sleep 1
someone 1
son 1
sons 2
soul 2
stark 9
start 1
stay 2
stepfather 1
steps 1
stevie 5
stop 2
stops 1
students 1
successor 1
summons 1
swore 1
sylvia 1
symbolizing 1
take 1
takes 1
talks 1
than 1
that 9
the 40
their 3
them 3
then 3
there 1
they 1
think 1
third 1
this 3
though 1
through 1
time 1
to 36
took 1
towards 1
tree 1
tries 1
trust 1
tulsa 1
tunnels 1
two 1
under 1
unlike 1
up 2
use 1
vampyre 1
vessel 2
waking 1
warriors 1
was 1
way 1
weapon 1
when 2
where 1
which 1
while 1
white 2
who 3
wields 1
wishing 1
with 7
words 1
world 2
zoey 21
